,Name,area
123,Neduvathoor__Kollam,23654969.02520458
124,Panmana__Kollam,17907645.70999986
125,Pavithreswaram__Kollam,25401965.208142836
126,Mynagappally__Kollam,20085140.6931411
127,Mylam__Kollam,25410811.060074974
128,Sasthamkotta__Kollam,23514861.413949832
129,Karunagappally(M)__Kollam,17855140.5739857
130,Thalavoor__Kollam,33582555.56478667
131,Kulakkada__Kollam,29987814.45573684
132,Pattazhi__Kollam,19072501.40515136
133,Kunnathur__Kollam,21400146.054928157
134,Sooranadu South__Kollam,17100154.509722505
135,Thodiyoor__Kollam,20841730.639808416
136,Aryankavu__Kollam,180025061.7744464
137,Kulasekharapuram__Kollam,17142134.566059858
138,Pattazhi Vadakkekkara__Kollam,20647207.99483484
139,Poruvazhy__Kollam,19331429.19240476
140,Clappana__Kollam,10341746.71767956
141,Thenmala__Kollam,157029990.0901142
142,Alappad__Kollam,6759330.926296971
143,Thazhava__Kollam,23726150.481020726
144,Ochira__Kollam,13107635.379267458
145,Sooranadu North__Kollam,22604271.52076979
146,Piravanthoor__Kollam,131542514.59878628
147,Vilakudi__Kollam,21034858.554135043
148,Punaloor(M)__Kollam,34463216.89821875
149,Pathanapuram__Kollam,37337220.4135274
150,Adoor(M)__Pathanamthitta,20832355.472421452
151,Aranmula__Pathanamthitta,23530456.260617405
152,Aruvappulam__Pathanamthitta,455275057.4193636
153,Ayiroor__Pathanamthitta,25252221.739526607
154,Chenneerkara__Pathanamthitta,19445830.333055545
155,Cherukol__Pathanamthitta,16130248.076361869
156,Chittar__Pathanamthitta,128167841.28585953
157,Enadimangalam__Pathanamthitta,30633122.558465835
158,Erathu__Pathanamthitta,21837336.531665407
159,Eraviperoor__Pathanamthitta,21630362.563928887
160,Ezhumattoor__Pathanamthitta,22086657.374502536
161,Ezhamkulam__Pathanamthitta,30447205.13850932
162,Elanthoor__Pathanamthitta,15130086.80979326
163,Kadampanadu__Pathanamthitta,34265745.83675523
164,Kadapra__Pathanamthitta,16819150.60073991
165,Kalanjoor__Pathanamthitta,55554213.05713658
166,Kallooppara__Pathanamthitta,17298696.187597718
167,Kaviyoor__Pathanamthitta,13317239.48577643
168,Kodumon__Pathanamthitta,46383758.88532404
169,Koipram__Pathanamthitta,22812511.552511677
170,Konni__Pathanamthitta,32515939.909051705
171,Kottanadu__Pathanamthitta,23192076.899661638
172,Kottangal__Pathanamthitta,23608686.991106622
173,Kozhancherry__Pathanamthitta,9625560.017675305
174,Kulanada__Pathanamthitta,20136041.90327361
175,Kunnamthanam__Pathanamthitta,17375208.368740693
176,Kuttoor__Pathanamthitta,9786904.475361353
177,Malayalappuzha__Pathanamthitta,24552389.56900054
178,Mallappuzhassery__Pathanamthitta,11029838.345514117
179,Mezhuveli__Pathanamthitta,16079861.975153578
180,Mylapra__Pathanamthitta,11182559.138657073
181,Naranammoozhi__Pathanamthitta,19216343.978775296
182,Naranganam__Pathanamthitta,20602348.740806207
183,Nedumpram__Pathanamthitta,8257024.355387567
184,Niranam__Pathanamthitta,10924490.295236355
185,Omalloor__Pathanamthitta,14571671.824641641
186,Pallikkal__Pathanamthitta,30872553.133504767
187,Pandalam Thekkekara__Pathanamthitta,19333709.783295184
188,Pandalam(M)__Pathanamthitta,28826062.818171255
189,Pathanamthitta(M)__Pathanamthitta,28044684.023453776
190,Peringara__Pathanamthitta,20497100.849723816
191,Pramadam__Pathanamthitta,38126767.27431313
192,Puramattom__Pathanamthitta,13998379.252222525
193,Ranni__Pathanamthitta,14247679.947161183
194,Ranni Angadi__Pathanamthitta,20892175.014774304
195,Ranni Pazhavangadi__Pathanamthitta,37703655.3135543
196,Ranni Perunnadu__Pathanamthitta,48539564.30737979
197,Seethathodu__Pathanamthitta,690790517.2904912
198,Thannithode__Pathanamthitta,150726810.6100399
199,Thiruvalla(M)__Pathanamthitta,25714696.387735598
200,Thottapuzhassery__Pathanamthitta,15283716.473449666
201,Thumpamon__Pathanamthitta,7482828.172075958
202,Vadasserikkara__Pathanamthitta,57570332.278134264
203,Vallikkode__Pathanamthitta,18538246.18584496
204,Vechuchira__Pathanamthitta,34195451.57157753
205,Mallappalli__Pathanamthitta,20170782.88259009
206,Anikkad__Pathanamthitta,19345642.305808973
207,Edathwa__Alappuzha,21920484.98600773
208,Mannancherry__Alappuzha,37828580.49475605
209,Alappuzha(M)__Alappuzha,45184310.550207324
210,Purakkad__Alappuzha,23439031.521779105
211,Pulinkunnu__Alappuzha,33341319.427378852
212,Cheruthana__Alappuzha,14559067.196966706
213,Pattanakkad__Alappuzha,15817943.749522679
214,Chennam Pallipuram__Alappuzha,26356598.717850924
215,Mavelikkara(M)__Alappuzha,14194398.539241765
216,Chengannur(M)__Alappuzha,12735818.020864125
217,Pathiyoor__Alappuzha,15236223.032261755
218,Thanneermukkam__Alappuzha,34585525.49450878
219,Kayamkulam(M)__Alappuzha,21396396.544948783
220,Palamel__Alappuzha,26338494.582770545
221,MavelikkaraThekkekara__Alappuzha,20481425.877116483
222,Muhamma__Alappuzha,27296890.795855507
223,Mannar__Alappuzha,15232904.2644465
224,ChennithalaThriperunthura__Alappuzha,22140059.87685463
