LSG Name, Population
Thurayur__Kozhikode,14176
Ulliyeri__Kozhikode,32509
Unnikkulam__Kozhikode,49348
Vadakara(M)__Kozhikode,75295
Valayam__Kozhikode,18374
Vanimal__Kozhikode,25412
Velom__Kozhikode,26738
Villiyappally__Kozhikode,34502
Kutyadi__Kozhikode,19351
Thiruvambadi__Kozhikode,28820
Kodancheri__Kozhikode,34854
Kattipara__Kozhikode,22706
Arikkulam__Kozhikode,18378
Chakkittapara__Kozhikode,21086
Chekkyad__Kozhikode,24246
Kodiyathur__Kozhikode,28335
Kozhikkode(C)__Kozhikode,608503
Payyoli(M)__Kozhikode,49470
Kunnamangalam__Kozhikode,53223
Kadalundi__Kozhikode,42516
Puthuppadi__Kozhikode,42083
Kottathara__Wayanad,3787
Vengapalli__Wayanad,2676
Padinjarathara__Wayanad,5788
Thariyod__Wayanad,2734
Muttil__Wayanad,7998
Pozhuthana__Wayanad,4256
Meppadi__Wayanad,8661
Vythiri__Wayanad,4159
Kalpatta(M)__Wayanad,31580
Mupainad__Wayanad,5562
Sulthan Bathery(M)__Wayanad,45417
Mananthavady(M)__Wayanad,47974
Noolpuzha__Wayanad,6510
Meenangadi__Wayanad,8199
Ambalavayal__Wayanad,8568
Nenmeni__Wayanad,11330
Pulpalli__Wayanad,8414
Mullankolli__Wayanad,6929
Panamaram__Wayanad,10334
Kaniyampatta__Wayanad,7672
Poothadi__Wayanad,9800
Edavaka__Wayanad,7539
Thondernadu__Wayanad,5280
Thirunelli__Wayanad,6902
Thavinjal__Wayanad,9257
Vellamunda__Wayanad,8796
Kolayad__Kannur,19790
Ulikkal__Kannur,35429
Payyavoor__Kannur,22998
Eruvessi__Kannur,19216
Malapattom__Kannur,9628
Sreekandapuram(M)__Kannur,33489
Naduvil__Kannur,31190
Ramanthali__Kannur,25711
Cherupuzha__Kannur,30733
Pariyaram__Kannur,32878
Mattool__Kannur,27806
Madayi__Kannur,35888
Ezhome__Kannur,19261
Kunjimangalam__Kannur,18965
Kadannapalli-Panapuzha__Kannur,21785
Karivalloor-Peralam__Kannur,21105
Payyannur(M)__Kannur,72111
Kankole Alapadamba__Kannur,15570
Eramam-Kuttoor__Kannur,27830
Peringom-Vayakkara__Kannur,29374
Alakode__Kannur,34878
Chengalayi__Kannur,30559
Chapparapadavu__Kannur,31622
Kurumathur__Kannur,31023
Pattuvam__Kannur,15659
Anthoor(M)__Kannur,33991
Kannapuram__Kannur,18459
Cherukunnu__Kannur,16111
Udayagiri__Kannur,18804
Mayyil__Kannur,29649
Irikkur__Kannur,13820
Padiyoor__Kannur,21524
Kottiyoor__Kannur,16768
Kanichar__Kannur,19325
Mattannoor(M)__Kannur,4778
Muzhakkunnu__Kannur,21807
Peravoor__Kannur,23558
Aralam__Kannur,29328
Ayyankunnu__Kannur,22436
Payam__Kannur,28196
Iritty(M)__Kannur,40369
Thillankeri__Kannur,14583
Muzhuppilangad__Kannur,23709
Kalyasseri__Kannur,31122
Pappinisseri__Kannur,35134
Chirakkal__Kannur,45601
Narath__Kannur,26769
Kuttiatoor__Kannur,25925
Kolacheri__Kannur,27943
Valapattanam__Kannur,7955
Azheeikkode__Kannur,47323
Peralasseri__Kannur,29107
Dharmadom__Kannur,30804
Kadamboor__Kannur,18979
Chembilod__Kannur,34319
Anjarakandi__Kannur,23030
Munderi__Kannur,37029
Koodali__Kannur,30239
Keezhalloor__Kannur,20747
Mangattidam__Kannur,34652
Chittariparambu__Kannur,23878
Vengad__Kannur,38606
Pinarayi__Kannur,33706
Cheruthazham__Kannur,29348
New Mahe__Kannur,16303
Panoor(M)__Kannur,57730
Pannyannoor__Kannur,22308
Thriprangottur__Kannur,29911
Pattiom__Kannur,30502
Mokeri__Kannur,19684
Kuthuparambu(M)__Kannur,29619
Kelakom__Kannur,20440
Kunnothuparambu__Kannur,39392
Thalasseri(M)__Kannur,92558
Eranjoli__Kannur,25818
Chokli__Kannur,28415
Kottayam__Kannur,19176
Thaliparambu(M)__Kannur,38474
Kannur(C)__Kannur,232486
Malur__Kannur,22314
Kathiroor__Kannur,31087
Ajanur__Kasaragod,49153
Balal__Kasaragod,23670
Bedadka__Kasaragod,27868
Chemmanad__Kasaragod,54747
Chengala__Kasaragod,56781
Cheruvathur__Kasaragod,27435
East Eleri__Kasaragod,25075
Enmakaje__Kasaragod,26824
Kallar__Kasaragod,19414
Karaduka__Kasaragod,21211
Kayyur-Chimeni__Kasaragod,23495
Kinanur-Karindalam__Kasaragod,27585
Kodom-Belur__Kasaragod,33211
Kumbala__Kasaragod,46691
Kumbadaje__Kasaragod,14772
Kuttikol__Kasaragod,24923
Madhur__Kasaragod,41463
Madikai__Kasaragod,22050
Mangalpady__Kasaragod,48441
Manjeswaram__Kasaragod,41515
Mogral-Puthur__Kasaragod,24839
Meencha__Kasaragod,23318
Nileswaram(M)__Kasaragod,39752
Paivalike__Kasaragod,34274
Pallikkara__Kasaragod,43255
Pananthadi__Kasaragod,22976
Pilicode__Kasaragod,25122
Pullur-Periya__Kasaragod,29642
Puthige__Kasaragod,21823
Uduma__Kasaragod,37537
Vorkady__Kasaragod,25756
West Eleri__Kasaragod,29316
Beloor__Kasaragod,10241
Delampadi__Kasaragod,22773
Badiyaduka__Kasaragod,34207
Muliyar__Kasaragod,25095
Thrikkarippur__Kasaragod,38687
Kanjangad(M)__Kasaragod,73342
Kasaragod(M)__Kasaragod,54172
Padanna__Kasaragod,22134
Valiyaparampa__Kasaragod,12790
Adimali__Idukki,40484
Bysonvalley__Idukki,13941
Konnathadi__Idukki,29092
Pallivasal__Idukki,17044
Vellathooval__Idukki,25701
Elappara__Idukki,23666
Kokkayar__Idukki,11786
Kumili__Idukki,35915
Peerumedu__Idukki,21712
Peruvanthanam__Idukki,15626
Vandiperiyar__Idukki,40809
Chinnakkanal__Idukki,11553
Devikulam__Idukki,23709
Edamalakkudi__Idukki,2236
Kanthalloor__Idukki,10963
Mankulam__Idukki,9595
Marayoor__Idukki,12399
Munnar__Idukki,32029
Santhanpara__Idukki,15632
Vattavada__Idukki,5697
Alakode__Idukki,9768
Karimannur__Idukki,19675
Kodikulam__Idukki,12952
Kudayathoor__Idukki,12122
Udumpannoor__Idukki,23859
Vannappuram__Idukki,28900
Velliyamattam__Idukki,21440
Arakkulam__Idukki,18481
Idukki- Kanjikkuzhi__Idukki,26809
Kamakshi__Idukki,19762
Mariyapuram__Idukki,12071
Vathikudi__Idukki,27670
Vazhathoppu__Idukki,19723
Ayyappankovil__Idukki,15611
Chakkupallam__Idukki,21936
Erattayar__Idukki,19097
Kanchiyar__Idukki,22513
Upputhara__Idukki,26236
Vandanmedu__Idukki,30567
Kattappana(M)__Idukki,5245
Karunapuram__Idukki,26637
Nedumkandam__Idukki,41980
Pampadumpara__Idukki,21172
Rajakkad__Idukki,15198
Rajakumari__Idukki,16086
Senapathi__Idukki,12529
Udumpanchola__Idukki,14059
Edavetti__Idukki,14260
Karinkunnam__Idukki,12454
Kumaramangalam__Idukki,14865
Manakkad__Idukki,15106
Muttom__Idukki,10909
Purappuzha__Idukki,11836
Thodupuzha(M)__Idukki,42546
Kuttichal__Thiruvananthapuram,18343
Akathethara__Palakkad,28592
Punnapra North__Alappuzha,28749
