LSG Name, Population
Kozhancherry__Pathanamthitta,12021
Kulanada__Pathanamthitta,23655
Kunnamthanam__Pathanamthitta,20573
Kuttoor__Pathanamthitta,19652
Malayalappuzha__Pathanamthitta,17033
Mallappuzhassery__Pathanamthitta,11784
Mezhuveli__Pathanamthitta,14535
Mylapra__Pathanamthitta,10258
Naranammoozhi__Pathanamthitta,15454
Naranganam__Pathanamthitta,16452
Nedumpram__Pathanamthitta,12791
Niranam__Pathanamthitta,13445
Omalloor__Pathanamthitta,17611
Pallikkal__Pathanamthitta,41737
Pandalam Thekkekara__Pathanamthitta,18366
Pandalam(M)__Pathanamthitta,41954
Pathanamthitta(M)__Pathanamthitta,37538
Peringara__Pathanamthitta,21001
Pramadam__Pathanamthitta,31251
Puramattom__Pathanamthitta,14069
Ranni__Pathanamthitta,13445
Ranni Angadi__Pathanamthitta,14855
Ranni Pazhavangadi__Pathanamthitta,24468
Ranni Perunnadu__Pathanamthitta,20561
Seethathodu__Pathanamthitta,15773
Thannithode__Pathanamthitta,13012
Thiruvalla(M)__Pathanamthitta,52883
Thottapuzhassery__Pathanamthitta,14469
Thumpamon__Pathanamthitta,7566
Vadasserikkara__Pathanamthitta,21755
Vallikkode__Pathanamthitta,20287
Vechuchira__Pathanamthitta,21627
Mallappalli__Pathanamthitta,17712
Anikkad__Pathanamthitta,14585
Edathwa__Alappuzha,19094
Mannancherry__Alappuzha,50990
Alappuzha(M)__Alappuzha,174176
Purakkad__Alappuzha,29782
Pulinkunnu__Alappuzha,20947
Cheruthana__Alappuzha,12854
Pattanakkad__Alappuzha,34620
Chennam Pallipuram__Alappuzha,28276
Mavelikkara(M)__Alappuzha,26421
Chengannur(M)__Alappuzha,23466
Pathiyoor__Alappuzha,33925
Thanneermukkam__Alappuzha,42302
Kayamkulam(M)__Alappuzha,68634
Palamel__Alappuzha,32556
MavelikkaraThekkekara__Alappuzha,32373
Muhamma__Alappuzha,25861
Mannar__Alappuzha,28916
ChennithalaThriperunthura__Alappuzha,27586
Chettikulangara__Alappuzha,37495
Thazhakkara__Alappuzha,35989
Thiruvanvandoor__Alappuzha,14701
Pandanadu__Alappuzha,11489
Budhannur__Alappuzha,18444
Puliyoor__Alappuzha,16668
Cheriyanad__Alappuzha,22018
Ala__Alappuzha,13395
Venmony__Alappuzha,19932
Bharanikavu__Alappuzha,35426
Vallikunnam__Alappuzha,30394
MavelikkaraThamarakulam__Alappuzha,27017
Chunakkara__Alappuzha,22730
Nooranadu__Alappuzha,25375
Arattupuzha__Alappuzha,29264
Chingoli__Alappuzha,14981
Cheppad__Alappuzha,20052
Devikulangara__Alappuzha,20390
Kandalloor__Alappuzha,19925
Muthukulam__Alappuzha,20740
Karuvatta__Alappuzha,21211
Thrikkunnapuzha__Alappuzha,26679
Kumarapuram__Alappuzha,20572
Karthikapalli__Alappuzha,18956
Pallipad__Alappuzha,24625
Veeyapuram__Alappuzha,11320
Harippad(M)__Alappuzha,15691
Punnapra South__Alappuzha,28377
Ambalappuzha North__Alappuzha,30492
Ambalappuzha South__Alappuzha,23205
Neelamperoor__Alappuzha,13514
Veliyanad__Alappuzha,12501
Kavalam__Alappuzha,14010
Muttar__Alappuzha,9388
Kainakari__Alappuzha,19094
Nedumudi__Alappuzha,19701
Champakkulam__Alappuzha,15848
Thakazhi__Alappuzha,18826
Thalavadi__Alappuzha,20459
Kadakkarapalli__Alappuzha,17496
Cherthala South__Alappuzha,40102
Kanjikkuzhi__Alappuzha,29951
Mararikulam North__Alappuzha,31322
Aroor__Alappuzha,41146
Ezhupunna__Alappuzha,21506
Kodamthuruthu__Alappuzha,25385
Kuthiyathodu__Alappuzha,23669
Thuravoor__Alappuzha,28802
Vayalar__Alappuzha,24804
Perumpalam__Alappuzha,9733
Arukutty__Alappuzha,19411
Panavally__Alappuzha,31570
Thaikattussery__Alappuzha,20874
Ramankari__Alappuzha,13332
Mararikulam South__Alappuzha,53263
Cherthala (M)__Alappuzha,45827
Aryad__Alappuzha,32265
Mulakuzha__Alappuzha,28280
Krishnapuram__Alappuzha,26705
Aymanam__Kottayam,34906
Akalakunnam__Kottayam,19718
Athirampuzha__Kottayam,40196
Ayarkunnam__Kottayam,34555
Bharananganam__Kottayam,15848
Erumeli__Kottayam,43273
Kadanad__Kottayam,18734
Kaduthuruthy__Kottayam,31844
Kanakari__Kottayam,22744
Kangazha__Kottayam,20115
Kanjirapally__Kottayam,43057
Karoor__Kottayam,22746
Karukachal__Kottayam,23631
Kidangoor__Kottayam,21261
Kooroppada__Kottayam,27977
Kozhuvanal__Kottayam,13381
Kumarakom__Kottayam,22358
Kuravilangad__Kottayam,18033
Kurichi__Kottayam,35815
Madapally__Kottayam,35245
Manjoor__Kottayam,27888
Marangattupilly__Kottayam,17758
Meenachil__Kottayam,16863
Meenadam__Kottayam,13393
Mundakkayam__Kottayam,38445
Nedumkunnam__Kottayam,21700
Pallikkathodu__Kottayam,17579
Pampadi__Kottayam,33004
Payippad__Kottayam,23928
Thalanad__Kottayam,7029
Thalappalam__Kottayam,13361
Theekoyi__Kottayam,10852
Thiruvarppu__Kottayam,29435
Thrikodithanam__Kottayam,35906
TV Puram__Kottayam,19511
Udayanapuram__Kottayam,25612
Uzhavoor__Kottayam,14339
Vakathanam__Kottayam,33550
Vazhappally__Kottayam,35800
Vazhoor__Kottayam,25169
Vechoor__Kottayam,17041
Veliyannoor__Kottayam,11195
Vellavoor__Kottayam,17115
Vijayapuram__Kottayam,30838
Arpookkara__Kottayam,23809
Panachikkad__Kottayam,42701
Manimala__Kottayam,21053
Maravanthuruth__Kottayam,21728
Chirakadav__Kottayam,36164
Elikkulam__Kottayam,24499
Erattupetta(M)__Kottayam,29705
Ettumanoor(M)__Kottayam,45837
Koottikkal__Kottayam,14277
Koruthodu__Kottayam,16413
Manarkadu__Kottayam,27579
Melukavu__Kottayam,11476
Mulakulam__Kottayam,25798
Moonnilavu__Kottayam,8731
Mutholi__Kottayam,16880
Parathodu__Kottayam,32864
Poonjar__Kottayam,12649
Poonjar Thekkekara__Kottayam,17588
Puthupalli__Kottayam,29784
Thidanad__Kottayam,20752
Vaikom(M)__Kottayam,23234
Kallara (Vaikom)__Kottayam,13562
