,name,day,S,E,I,R
65,Uzhamalakkal__Thiruvananthapuram,1,21471.999724564732,0.0002754352678480689,0.0,0.0
66,Vakkam__Thiruvananthapuram,1,16532.999975478364,2.4521636722634383e-05,0.0,0.0
67,Vamanpuram__Thiruvananthapuram,1,21037.99993055031,6.944968831269549e-05,0.0,0.0
68,Varkala(M)__Thiruvananthapuram,1,40047.99990874774,9.125225896331826e-05,0.0,0.0
69,Vellanad__Thiruvananthapuram,1,31155.999570091648,0.00042990835141719754,0.0,0.0
70,Vellarada__Thiruvananthapuram,1,40205.99587908987,0.004120910131761765,0.0,0.0
71,Vembayam__Thiruvananthapuram,1,38629.999881729156,0.00011827084298158934,0.0,0.0
72,Venganoor__Thiruvananthapuram,1,35962.99974120851,0.0002587914948957789,0.0,0.0
73,Vettoor__Thiruvananthapuram,1,18703.999970924327,2.9075670945304058e-05,0.0,0.0
74,Vilappil__Thiruvananthapuram,1,36211.9995923334,0.0004076666002660386,0.0,0.0
75,Vilavoorkal__Thiruvananthapuram,1,31760.99973858656,0.00026141343854779953,0.0,0.0
76,Vithura__Thiruvananthapuram,1,26248.999761617324,0.00023838267747337252,0.0,0.0
77,Amboori__Thiruvananthapuram,2,15918.61424014908,1.1370283430212225,1.7181192630006907,0.5306122448979592
78,Anad__Thiruvananthapuram,2,31686.999648277237,0.0002885930360805516,6.312972685486225e-05,0.0
79,Anchuthengu__Thiruvananthapuram,2,17395.999949301127,4.159907750515494e-05,9.099798212285276e-06,0.0
80,Andoorkonam__Thiruvananthapuram,2,30780.999835130773,0.00013527731403847974,2.9591912493924725e-05,0.0
81,Aruvikkara__Thiruvananthapuram,2,33395.999486930436,0.0004209801537110279,9.208940905280498e-05,0.0
82,Aryanad__Thiruvananthapuram,2,26360.999098784294,0.000739459041051392,0.0001617566669049591,0.0
83,Aryancodu__Thiruvananthapuram,2,24327.99601895843,0.003266495619105178,0.0007145459520951102,0.0
84,Athiyannoor__Thiruvananthapuram,2,26972.999499304235,0.00041082729312559254,8.986847087650002e-05,0.0
85,Attingal(M)__Thiruvananthapuram,2,37435.9997939906,0.00016903335255865175,3.697604593383551e-05,0.0
86,Azhoor__Thiruvananthapuram,2,27389.999881785836,9.699623718036623e-05,2.1217926910941997e-05,0.0
87,Balaramapuram__Thiruvananthapuram,2,36133.99926213161,0.0006054304727430148,0.0001324379167316637,0.0
88,Chemmaruthi__Thiruvananthapuram,2,32443.99990325099,7.938380061688683e-05,1.736520640062844e-05,0.0
89,Chenkal__Thiruvananthapuram,2,36543.99910033085,0.000738190069819009,0.00016147907897700174,0.0
90,Cherunniyoor__Thiruvananthapuram,2,18113.99994917626,4.1701530208818405e-05,9.122209740931308e-06,0.0
91,Chirayinkeezhu__Thiruvananthapuram,2,29906.999883433007,9.564471136503478e-05,2.0922280635800904e-05,0.0
92,Edava__Thiruvananthapuram,2,25993.999918994046,6.646642298760612e-05,1.4539530042262547e-05,0.0
93,Elakamon__Thiruvananthapuram,2,25306.99991957111,6.599293399044508e-05,1.4435954324305996e-05,0.0
94,Kadakkavoor__Thiruvananthapuram,2,23154.999925847544,6.084304088415842e-05,1.3309415206319377e-05,0.0
95,Kadinamkulam__Thiruvananthapuram,2,46475.99974213986,0.00021157755684950283,4.628259063860559e-05,0.0
96,Kallara__Thiruvananthapuram,2,25843.999863580793,0.00011193370628864207,2.448549828978776e-05,0.0
97,Kallikkad__Thiruvananthapuram,2,13552.994082264995,0.004855577325092809,0.0010621576803349407,0.0
98,Kalliyoor__Thiruvananthapuram,2,40815.999484330496,0.00042311343811695106,9.255606494226229e-05,0.0
99,Kanjiramkulam__Thiruvananthapuram,2,18820.999738528822,0.00021454045329903052,4.693072435663951e-05,0.0
100,Karakulam__Thiruvananthapuram,2,52416.999532837035,0.00038331320646852065,8.384976414133617e-05,0.0
101,Karavaram__Thiruvananthapuram,2,30659.99988444438,9.481486794752848e-05,2.074075238719853e-05,0.0
102,Karode__Thiruvananthapuram,2,32089.999340433173,0.0005411830368304551,0.00011838379004364689,0.0
103,Karumkulam__Thiruvananthapuram,2,28289.999599361963,0.0003287286472639394,7.190939189743481e-05,0.0
104,Kattakada__Thiruvananthapuram,2,40447.99759667408,0.0019719597253455862,0.0004313661976825144,0.0
105,Kilimanoor__Thiruvananthapuram,2,20514.999901815925,8.056129125017139e-05,1.7622782486520896e-05,0.0
