,iName,jName,Cij
127,Anad,Panavoor,0.00445474738805529
128,Anad,Pangod,0.0001468291626349819
129,Anad,Parassala,7.195471794295036e-06
130,Anad,Pazhayakunnummel,8.436345041171104e-06
131,Anad,Peringammala,0.00020015797806810246
132,Anad,Perumkadavila,2.3044399822070266e-06
133,Anad,Poovachal,5.905063199267084e-05
134,Anad,Poovar,1.4588986659650154e-06
135,Anad,Pothencodu,4.7320569963622225e-05
136,Anad,Pulimathu,1.724926873165876e-05
137,Anad,Pullampara,0.0002346782644565852
138,Anad,Thirupuram,1.4060287658186034e-06
139,Anad,Thiruvananthapuram(C),0.0038877675862633338
140,Anad,Tholikkodu,0.002227342073894362
141,Anad,Uzhamalakkal,0.0003194215696990082
142,Anad,Vakkam,3.1479141675968256e-06
143,Anad,Vamanpuram,3.479935943127445e-05
144,Anad,Varkala(M),1.531354696095047e-05
145,Anad,Vellanad,0.00014725118565893735
146,Anad,Vellarada,5.037561922969421e-06
147,Anad,Vembayam,0.0005167212064346407
148,Anad,Venganoor,4.568970061845077e-06
149,Anad,Vettoor,3.7455949000704514e-06
150,Anad,Vilappil,5.177433953042249e-05
151,Anad,Vilavoorkal,6.733000147843841e-06
152,Anchuthengu,Amboori,5.89242970888779e-07
153,Anchuthengu,Anad,6.171159964514465e-06
154,Anchuthengu,Anchuthengu,0.9798533235561331
155,Anchuthengu,Andoorkonam,1.8143204484153384e-05
156,Anchuthengu,Aruvikkara,2.4692830051329294e-06
157,Anchuthengu,Aryanad,1.4952792541115917e-06
158,Anchuthengu,Aryancodu,1.1541357460079271e-06
159,Anchuthengu,Athiyannoor,1.4462919301507653e-06
160,Anchuthengu,Attingal(M),0.00020987118723094557
161,Anchuthengu,Azhoor,0.00010655424828667294
162,Anchuthengu,Balaramapuram,2.339625815562237e-06
163,Anchuthengu,Chemmaruthi,0.0001877805644257195
164,Anchuthengu,Chenkal,2.187496512738235e-06
165,Anchuthengu,Cherunniyoor,0.0005565389104819974
166,Anchuthengu,Chirayinkeezhu,0.0009110173534835227
167,Anchuthengu,Edava,0.00016479516239706685
168,Anchuthengu,Elakamon,0.00010773836501834109
169,Anchuthengu,Kadakkavoor,0.001207866688073652
170,Anchuthengu,Kadinamkulam,3.57351034208335e-05
171,Anchuthengu,Kallara,9.439335976083645e-06
172,Anchuthengu,Kallikkad,4.4611820532580416e-07
173,Anchuthengu,Kalliyoor,3.2780319678135415e-06
174,Anchuthengu,Kanjiramkulam,8.151363222353454e-07
175,Anchuthengu,Karakulam,1.2671792489076035e-05
176,Anchuthengu,Karavaram,9.272929181560289e-05
177,Anchuthengu,Karode,1.7027245073390572e-06
178,Anchuthengu,Karumkulam,1.517316766740447e-06
179,Anchuthengu,Kattakada,2.8149041436136913e-06
180,Anchuthengu,Kilimanoor,1.740424366623946e-05
181,Anchuthengu,Kizhuvilam,0.0003609777563648271
182,Anchuthengu,Kollayil,1.1735899584629375e-06
183,Anchuthengu,Kottukal,2.1058444165706723e-06
184,Anchuthengu,Kulathoor,1.8020178897985338e-06
185,Anchuthengu,Kunnathukal,2.414984530952753e-06
186,Anchuthengu,Madavoor,1.9463508132696784e-05
187,Anchuthengu,Malayinkeezhu,2.6359198047844985e-06
188,Anchuthengu,Manampoor,0.0004020602375408497
189,Anchuthengu,Mangalapuram,9.32427630445623e-05
190,Anchuthengu,Manikkal,1.343800300207463e-05
191,Anchuthengu,Maranalloor,2.3929690998687763e-06
192,Anchuthengu,Mudakkal,5.648973544294004e-05
193,Anchuthengu,Nagaroor,4.035668381041699e-05
194,Anchuthengu,Nanniyodu,2.174879407633115e-06
195,Anchuthengu,Navayikkulam,0.00010449256879482851
196,Anchuthengu,Nedumangad(M),7.019434390844743e-06
197,Anchuthengu,Nellanadu,1.554094940779264e-05
198,Anchuthengu,Neyyattinkara(M),7.14811299850868e-06
199,Anchuthengu,Ottasekharamangalam,7.877648881001349e-07
200,Anchuthengu,Ottoor,0.00010669434163143788
201,Anchuthengu,Pallichal,3.6595073725100874e-06
202,Anchuthengu,Pallikkal,1.4265647730642055e-05
203,Anchuthengu,Panavoor,4.498907494373755e-06
204,Anchuthengu,Pangod,9.869024599115747e-06
205,Anchuthengu,Parassala,3.901205860230996e-06
206,Anchuthengu,Pazhayakunnummel,1.3942627047036156e-05
207,Anchuthengu,Peringammala,1.9338370215660865e-06
208,Anchuthengu,Perumkadavila,1.0748613503085898e-06
209,Anchuthengu,Poovachal,3.289018044610623e-06
210,Anchuthengu,Poovar,8.370947144175139e-07
211,Anchuthengu,Pothencodu,1.5063349289129317e-05
212,Anchuthengu,Pulimathu,2.3264540437137065e-05
213,Anchuthengu,Pullampara,5.563517348710862e-06
214,Anchuthengu,Thirupuram,7.95198374362613e-07
215,Anchuthengu,Thiruvananthapuram(C),0.0012684054620472644
216,Anchuthengu,Tholikkodu,1.6280895964780272e-06
217,Anchuthengu,Uzhamalakkal,1.2524588789509251e-06
