,iName,jName,Cij
67,Amboori__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,3.4301054371953306e-06
68,Amboori__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,1.697074558541912e-05
69,Amboori__Thiruvananthapuram,Vellanad__Thiruvananthapuram,0.00017730048102951705
70,Amboori__Thiruvananthapuram,Vellarada__Thiruvananthapuram,0.0268595319549459
71,Amboori__Thiruvananthapuram,Vembayam__Thiruvananthapuram,1.0885228186048244e-05
72,Amboori__Thiruvananthapuram,Venganoor__Thiruvananthapuram,5.669062393321442e-05
73,Amboori__Thiruvananthapuram,Vettoor__Thiruvananthapuram,2.4565300472528177e-06
74,Amboori__Thiruvananthapuram,Vilappil__Thiruvananthapuram,0.00016381027621762488
75,Amboori__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,8.699689014546312e-05
76,Amboori__Thiruvananthapuram,Vithura__Thiruvananthapuram,0.0003217131795617533
77,Anad__Thiruvananthapuram,Amboori__Thiruvananthapuram,1.819562443480241e-05
78,Anad__Thiruvananthapuram,Anad__Thiruvananthapuram,0.7810933882528663
79,Anad__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,2.3016258101127972e-05
80,Anad__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,2.1834179705413414e-05
81,Anad__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,0.002689709897583418
82,Anad__Thiruvananthapuram,Aryanad__Thiruvananthapuram,0.0008319929536403471
83,Anad__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,1.3320401812917192e-05
84,Anad__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,8.074458311400833e-06
85,Anad__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,0.0002474852961317172
86,Anad__Thiruvananthapuram,Azhoor__Thiruvananthapuram,1.0876846782236617e-05
87,Anad__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,1.4118938328797397e-05
88,Anad__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,8.805509765374927e-05
89,Anad__Thiruvananthapuram,Chenkal__Thiruvananthapuram,1.2590856530454161e-05
90,Anad__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,2.7550449583430823e-05
91,Anad__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,1.1754343014320425e-05
92,Anad__Thiruvananthapuram,Edava__Thiruvananthapuram,5.9434793262339666e-05
93,Anad__Thiruvananthapuram,Elakamon__Thiruvananthapuram,5.415201910490779e-05
94,Anad__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,4.517027089780916e-05
