,name,day,S,E,I,R
38,P9,4,8583.33837712569,2.6952342739530444,2.1440687821729565,0.8223198181821831
39,P10,4,7944.0,0.0,0.0,0.0
40,P1,5,14473.0,0.0,0.0,0.0
41,P2,5,19804.0,0.0,0.0,0.0
42,P3,5,1991.2962506583465,3.2001207006826418,2.4456303598999054,1.0579982810707165
43,P4,5,16648.0,0.0,0.0,0.0
44,P5,5,2456.0,0.0,0.0,0.0
45,P6,5,16202.643371062119,1.6037098290016962,1.2238165737093296,0.5291025351696504
46,P7,5,11931.0,0.0,0.0,0.0
47,P8,5,6926.935746007797,4.806805275788463,3.6702635626780884,1.5871851537348465
48,P9,5,8582.288475943713,3.206088601139257,2.4472680709245402,1.0581673842212083
49,P10,5,7944.0,0.0,0.0,0.0
50,P1,6,14473.0,0.0,0.0,0.0
51,P2,6,19804.0,0.0,0.0,0.0
52,P3,6,1990.1019125515293,3.7544346673633324,2.8166351604474444,1.327017620659706
53,P4,6,16648.0,0.0,0.0,0.0
54,P5,6,2456.0,0.0,0.0,0.0
55,P6,6,16202.043825146238,1.8825137790812556,1.4099387164016426,0.6637223582776767
56,P7,6,11931.0,0.0,0.0,0.0
57,P8,6,6925.139926037191,5.641264191237163,4.2278956259411915,1.9909141456294361
58,P9,6,8581.090251624735,3.7630951998884616,2.819286303350692,1.3273668720229077
59,P10,6,7944.0,0.0,0.0,0.0
60,P1,7,14473.0,0.0,0.0,0.0
61,P2,7,19804.0,0.0,0.0,0.0
62,P3,7,1988.7272170561912,4.378243229228758,3.2576922262708923,1.6368474883089248
63,P4,7,16648.0,0.0,0.0,0.0
64,P5,7,2456.0,0.0,0.0,0.0
65,P6,7,16201.353123828934,2.1967123405682147,1.631348213413713,0.8188156170818573
66,P7,7,11931.0,0.0,0.0,0.0
67,P8,7,6923.071799078399,6.581138311781491,4.891079945335093,2.455982664482967
68,P9,7,8579.710073535904,4.390654248741677,3.261783849959808,1.6374883653914838
69,P10,7,7944.0,0.0,0.0,0.0
70,P1,8,14473.0,0.0,0.0,0.0
71,P2,8,19804.0,0.0,0.0,0.0
72,P3,8,1987.1383562025192,5.091455437055117,3.774994727226846,1.995193633198723
73,P4,8,16648.0,0.0,0.0,0.0
74,P5,8,2456.0,0.0,0.0,0.0
75,P6,8,16200.553992411435,2.5565012899534656,1.8912423780518475,0.9982639205573658
76,P7,8,11931.0,0.0,0.0,0.0
77,P8,8,6920.679981889134,7.656727838689683,5.669288813704531,2.9940014584698273
78,P9,8,8578.113528154596,5.109068780300417,3.7811184762125647,1.9962845888870626
79,P10,8,7944.0,0.0,0.0,0.0
80,P1,9,14473.0,0.0,0.0,0.0
81,P2,9,19804.0,0.0,0.0,0.0
82,P3,9,1985.2986644906582,5.9128560615049635,4.378036394642916,2.410443053193676
83,P4,9,16648.0,0.0,0.0,0.0
84,P5,9,2456.0,0.0,0.0,0.0
85,P6,9,16199.6275950656,2.9715983777975943,2.1945059744568374,1.206300582143069
86,P7,9,11931.0,0.0,0.0,0.0
87,P8,9,6917.90856579194,8.896798368145193,6.577012611934969,3.617623227977326
88,P9,9,8576.263128440933,5.937654737903578,4.387009199889266,2.412207621270445
89,P10,9,7944.0,0.0,0.0,0.0
90,P1,10,14473.0,0.0,0.0,0.0
91,P2,10,19804.0,0.0,0.0,0.0
92,P3,10,1983.1670639873478,6.86188535251442,5.079023603533188,2.892027056604397
93,P4,10,16648.0,0.0,0.0,0.0
94,P5,10,2456.0,0.0,0.0,0.0
95,P6,10,16198.552709962843,3.452163804993856,2.547429992826104,1.447696239333321
96,P7,10,11931.0,0.0,0.0,0.0
97,P8,10,6914.694698958459,10.331305527997344,7.632900898251162,4.341094615290173
98,P9,10,8574.116681686932,6.896570544324413,5.091969135482162,2.894778633258264
99,P10,10,7944.0,0.0,0.0,0.0
100,P1,11,14473.0,0.0,0.0,0.0
101,P2,11,19804.0,0.0,0.0,0.0
102,P3,11,1980.6968184214852,7.95975384787403,5.892708077647422,3.4507196529930475
103,P4,11,16648.0,0.0,0.0,0.0
104,P5,11,2456.0,0.0,0.0,0.0
105,P6,11,16197.305042881717,4.009398125121187,2.957645454614004,1.7279135385441924
106,P7,11,11931.0,0.0,0.0,0.0
107,P8,11,6910.966603543206,11.993139837652041,8.859542905043003,5.1807137140978
108,P9,11,8571.625940345853,8.007997776537021,5.911166639444007,3.454895238161302
109,P10,11,7944.0,0.0,0.0,0.0
110,P1,12,14473.0,0.0,0.0,0.0
111,P2,12,19804.0,0.0,0.0,0.0
112,P3,12,1977.8343973057551,9.230224194029248,6.836460958681012,4.098917541534264
113,P4,12,16648.0,0.0,0.0,0.0
114,P5,12,2456.0,0.0,0.0,0.0
115,P6,12,16195.85657416876,4.65598721305308,3.4341840796307013,2.053254538551733
116,P7,12,11931.0,0.0,0.0,0.0
117,P8,12,6906.641719224579,13.919396188747994,10.283621153018682,6.1552634336525305
118,P9,12,8568.735327753102,9.297010813980691,6.8625378644125705,4.105123568500143
119,P10,12,7944.0,0.0,0.0,0.0
120,P1,13,14473.0,0.0,0.0,0.0
121,P2,13,19804.0,0.0,0.0,0.0
122,P3,13,1974.5183412779477,10.700235383030915,7.930495092031951,4.8509282469891755
123,P4,13,16648.0,0.0,0.0,0.0
124,P5,13,2456.0,0.0,0.0,0.0
125,P6,13,16194.174877212481,5.4064867267220125,3.98762127348194,2.43101478731111
126,P7,13,11931.0,0.0,0.0,0.0
127,P8,13,6901.624796841522,16.152439334055654,11.936302063936227,7.286461760484586
128,P9,13,8565.38061793682,10.792318467466927,7.967060862123326,4.860002733585525
129,P10,13,7944.0,0.0,0.0,0.0
130,P1,14,14473.0,0.0,0.0,0.0
131,P2,14,19804.0,0.0,0.0,0.0
132,P3,14,1970.6780685416265,12.400461042745851,9.19818770851462,5.72328270711269
133,P4,14,16648.0,0.0,0.0,0.0
134,P5,14,2456.0,0.0,0.0,0.0
135,P6,14,16192.222368526749,6.277698067108885,4.63028027874333,2.8696531273941233
136,P7,14,11931.0,0.0,0.0,0.0
137,P8,14,6895.805834700761,18.74091360800507,13.853796703714373,8.599454987517571
138,P9,14,8561.487493561657,12.52697914913637,9.249147860783145,5.736379428419092
139,P10,14,7944.0,0.0,0.0,0.0
140,P1,15,14473.0,0.0,0.0,0.0
141,P2,15,19804.0,0.0,0.0,0.0
142,P3,15,1966.2325896998475,14.365847675975695,10.666479269127182,6.735083355049299
143,P4,15,16648.0,0.0,0.0,0.0
144,P5,15,2456.0,0.0,0.0,0.0
145,P6,15,16189.955460056306,7.289066924129403,5.3764890615033405,3.3789839580558896
146,P7,15,11931.0,0.0,0.0,0.0
147,P8,15,6889.057785810795,21.74077977636997,16.078061787906805,10.123372624926152
148,P9,15,8556.969928393333,14.539148487633318,10.737137425924272,6.753785693105238
149,P10,15,7944.0,0.0,0.0,0.0
150,P1,16,14473.0,0.0,0.0,0.0
151,P2,16,19804.0,0.0,0.0,0.0
152,P3,16,1961.0891153321825,16.636152508445562,12.36633608471833,7.908396074653289
153,P4,16,16648.0,0.0,0.0,0.0
154,P5,16,2456.0,0.0,0.0,0.0
