iName,1.0,2.0,3.0,4.0,5.0,6.0
Kadakkavoor__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram (21071.05),Attingal(M)__Thiruvananthapuram (386.8736064383552),Thiruvananthapuram(C)__Thiruvananthapuram (300.1396444331122),Kizhuvilam__Thiruvananthapuram (169.27383251009368),Vakkam__Thiruvananthapuram (168.1811236168599),Manampoor__Thiruvananthapuram (164.12327170207658)
Kadinamkulam__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram (42293.16),Thiruvananthapuram(C)__Thiruvananthapuram (2358.4003496051723),Andoorkonam__Thiruvananthapuram (475.92315343162824),Mangalapuram__Thiruvananthapuram (187.1691663225836),Azhoor__Thiruvananthapuram (112.50200988403482),Pothencodu__Thiruvananthapuram (95.54778516784728)
Kallara__Thiruvananthapuram,Kallara__Thiruvananthapuram (24810.24),Thiruvananthapuram(C)__Thiruvananthapuram (320.75009011180026),Pangod__Thiruvananthapuram (90.63330914630653),Pullampara__Thiruvananthapuram (59.58166086660753),Vamanpuram__Thiruvananthapuram (58.38118580481615),Pulimathu__Thiruvananthapuram (40.16986614236356)
Kallikkad__Thiruvananthapuram,Kallikkad__Thiruvananthapuram (13010.88),Thiruvananthapuram(C)__Thiruvananthapuram (202.49480593042347),Amboori__Thiruvananthapuram (50.26399638922077),Vellarada__Thiruvananthapuram (24.555928565816174),Neyyattinkara(M)__Thiruvananthapuram (23.083199981587025),Poovachal__Thiruvananthapuram (15.988452080974014)
Kalliyoor__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram (37142.56),Thiruvananthapuram(C)__Thiruvananthapuram (2202.6320109960557),Venganoor__Thiruvananthapuram (314.22984085879403),Pallichal__Thiruvananthapuram (299.3874940117257),Neyyattinkara(M)__Thiruvananthapuram (117.6337567178036),Balaramapuram__Thiruvananthapuram (91.30789418193943)
Kanjiramkulam__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram (17127.11),Thiruvananthapuram(C)__Thiruvananthapuram (364.22389371546564),Karumkulam__Thiruvananthapuram (260.6628189562576),Kottukal__Thiruvananthapuram (215.37901463885947),Neyyattinkara(M)__Thiruvananthapuram (136.46115945729116),Thirupuram__Thiruvananthapuram (129.2558058120168)
Karakulam__Thiruvananthapuram,Karakulam__Thiruvananthapuram (47699.47),Thiruvananthapuram(C)__Thiruvananthapuram (3705.723238217389),Nedumangad(M)__Thiruvananthapuram (312.5460360707987),Aruvikkara__Thiruvananthapuram (83.00923842268988),Vembayam__Thiruvananthapuram (72.30768005784026),Anad__Thiruvananthapuram (34.931891347866724)
Karavaram__Thiruvananthapuram,Karavaram__Thiruvananthapuram (27900.6),Thiruvananthapuram(C)__Thiruvananthapuram (436.0135581664153),Attingal(M)__Thiruvananthapuram (413.64932854600136),Nagaroor__Thiruvananthapuram (396.48389146659747),Navayikkulam__Thiruvananthapuram (140.06017576038596),Manampoor__Thiruvananthapuram (138.602631291773)
Karode__Thiruvananthapuram,Karode__Thiruvananthapuram (29201.9),Kulathoor__Thiruvananthapuram (590.4269303685987),Thiruvananthapuram(C)__Thiruvananthapuram (554.2535515939774),Parassala__Thiruvananthapuram (341.08181885435437),Chenkal__Thiruvananthapuram (296.20065927011257),Neyyattinkara(M)__Thiruvananthapuram (213.53890712600244)
Karumkulam__Thiruvananthapuram,Karumkulam__Thiruvananthapuram (25743.9),Thiruvananthapuram(C)__Thiruvananthapuram (601.1495689468637),Kanjiramkulam__Thiruvananthapuram (349.11320540448764),Poovar__Thiruvananthapuram (317.27879241593877),Neyyattinkara(M)__Thiruvananthapuram (173.52593896148122),Kulathoor__Thiruvananthapuram (148.92758383632133)
Kattakada__Thiruvananthapuram,Kattakada__Thiruvananthapuram (36807.68),Thiruvananthapuram(C)__Thiruvananthapuram (1377.5495986278415),Poovachal__Thiruvananthapuram (392.0298482322052),Maranalloor__Thiruvananthapuram (336.81865594769477),Neyyattinkara(M)__Thiruvananthapuram (206.8620484330651),Malayinkeezhu__Thiruvananthapuram (151.66005566797128)
Kilimanoor__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram (18668.65),Thiruvananthapuram(C)__Thiruvananthapuram (349.2275958486039),Pazhayakunnummel__Thiruvananthapuram (210.9371913364333),Nagaroor__Thiruvananthapuram (185.14244835907303),Madavoor__Thiruvananthapuram (124.66977079244646),Pulimathu__Thiruvananthapuram (103.20486322906558)
Kizhuvilam__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram (29939.91),Attingal(M)__Thiruvananthapuram (597.2701385798061),Thiruvananthapuram(C)__Thiruvananthapuram (576.2107333581652),Chirayinkeezhu__Thiruvananthapuram (308.7235615413279),Azhoor__Thiruvananthapuram (247.6703232884887),Kadakkavoor__Thiruvananthapuram (168.6036298040315)
Kollayil__Thiruvananthapuram,Kollayil__Thiruvananthapuram (22820.07),Neyyattinkara(M)__Thiruvananthapuram (480.6278059990188),Thiruvananthapuram(C)__Thiruvananthapuram (424.68563236032855),Kunnathukal__Thiruvananthapuram (210.0401836024505),Chenkal__Thiruvananthapuram (198.54176582871688),Parassala__Thiruvananthapuram (190.89623218960278)
