iName,1.0,2.0,3.0,4.0,5.0,6.0
Aloor__Thrissur,Aloor__Thrissur (41748.48),Chalakkudi(M)__Thrissur (302.3822950587734),Thrissur(C)__Thrissur (123.06904925560235),Iringalakkuda(M)__Thrissur (92.06588893149305),Kodakara__Thrissur (80.62678357119265),Muriyad__Thrissur (60.74584363935241)
Aluva(M)__Ernakulam,Aluva(M)__Ernakulam (20409.48),Kadungalloor__Ernakulam (197.77428667632026),Chengamanadu__Ernakulam (188.98036401755382),Choornikkara__Ernakulam (182.19115648840477),Keezhmadu__Ernakulam (123.10112537134333),Eloor(M)__Ernakulam (86.08041293192626)
Amarambalam__Malappuram,Amarambalam__Malappuram (7135.31),Kozhikkode(C)__Kozhikode (55.19146465186856),Nilambur(M)__Malappuram (35.948551327184546),Manjeri(M)__Malappuram (23.208055348865027),Chokkadu__Malappuram (21.174396224835),Thrissur(C)__Thrissur (16.9376257535496)
Ambalappara__Palakkad,Ambalappara__Palakkad (34831.159999999996),Ottappalam(M)__Palakkad (669.5006356601705),Lekkidiperoor__Palakkad (159.32485857251973),Thrissur(C)__Thrissur (113.08398191503211),Pookkottukavu__Palakkad (82.086680763081),Kadampazhippuram__Palakkad (79.76508790512598)
Ambalappuzha North__Alappuzha,Ambalappuzha North__Alappuzha (27747.72),Punnapra South__Alappuzha (450.65899984720363),Alappuzha(M)__Alappuzha (377.5621355947313),Ambalappuzha South__Alappuzha (284.455985660694),Nedumudi__Alappuzha (146.49225084147523),Punnapra North__Alappuzha (123.75956611694745)
Ambalappuzha South__Alappuzha,Ambalappuzha South__Alappuzha (21116.55),Ambalappuzha North__Alappuzha (317.07333275809793),Alappuzha(M)__Alappuzha (195.71223655451155),Purakkad__Alappuzha (161.2997384647108),Punnapra South__Alappuzha (84.2614918393043),Thakazhi__Alappuzha (77.62887869968773)
Ambalavayal__Wayanad,Ambalavayal__Wayanad (7796.88),Kozhikkode(C)__Kozhikode (77.58378049025917),Sulthan Bathery(M)__Wayanad (51.997417191794455),Kalpatta(M)__Wayanad (49.129952472505884),Nenmeni__Wayanad (23.31151528192788),Mupainad__Wayanad (18.13545987422127)
Amballur__Ernakulam,Amballur__Ernakulam (23321.48),Chempu__Kottayam (173.58495479772978),Edakkattuvayal__Ernakulam (120.92749936129556),Thrippunithura(M)__Ernakulam (97.18515530903713),Udayamperoor__Ernakulam (91.63335345371426),Mulanthuruthy__Ernakulam (77.00167371880774)
Amboori__Thiruvananthapuram,Amboori__Thiruvananthapuram (14487.2),Thiruvananthapuram(C)__Thiruvananthapuram (408.11873417287325),Vellarada__Thiruvananthapuram (114.18568598226808),Ottasekharamangalam__Thiruvananthapuram (77.58854299096804),Kallikkad__Thiruvananthapuram (71.89373220131233),Neyyattinkara(M)__Thiruvananthapuram (64.13367076239858)
Anad__Thiruvananthapuram,Anad__Thiruvananthapuram (28835.17),Nedumangad(M)__Thiruvananthapuram (925.3094145556988),Thiruvananthapuram(C)__Thiruvananthapuram (899.6642909573251),Panavoor__Thiruvananthapuram (100.33952777139191),Karakulam__Thiruvananthapuram (60.38369204946813),Vembayam__Thiruvananthapuram (56.22159001977802)
Anakkara__Palakkad,Anakkara__Palakkad (22476.09),Valancherri(M)__Malappuram (172.87753435685218),Pattithara__Palakkad (131.60882443784638),Kappur__Palakkad (128.87970030624646),Ponnani(M)__Malappuram (125.83162464473243),Thrissur(C)__Thrissur (82.22798509851378)
Anakkayam__Malappuram,Anakkayam__Malappuram (9432.0),Manjeri(M)__Malappuram (189.51991195530877),Malappuram(M)__Malappuram (31.708024941953724),Kozhikkode(C)__Kozhikode (16.800298617042273),Koottilangadi__Malappuram (7.252252911932542),Perinthalmanna(M)__Malappuram (6.187221928069376)
Ananganadi__Palakkad,Ananganadi__Palakkad (22244.95),Ottappalam(M)__Palakkad (288.99084450021),Trikkadeeri__Palakkad (133.35575154068937),Shornur(M)__Palakkad (130.03155088910424),Vaniyamkulam__Palakkad (128.23484716527037),Chalavara__Palakkad (105.4577541489005)
Anchal__Kollam,Anchal__Kollam (30110.08),Edamulakkal__Kollam (299.3683154266082),Punaloor(M)__Kollam (256.463301706893),Karavaloor__Kollam (226.69405390648254),Thiruvananthapuram(C)__Thiruvananthapuram (201.33067181333345),Eroor__Kollam (165.31714276425276)
