iName,1.0,2.0,3.0,4.0,5.0,6.0
Kallara__Thiruvananthapuram,Kallara__Thiruvananthapuram (23518.04),Thiruvananthapuram(C)__Thiruvananthapuram (551.3460965660339),Pangod__Thiruvananthapuram (155.79207226180714),Pullampara__Thiruvananthapuram (102.41654533682309),Vamanpuram__Thiruvananthapuram (100.35301594198225),Pulimathu__Thiruvananthapuram (69.04908082629855)
Kallikkad__Thiruvananthapuram,Kallikkad__Thiruvananthapuram (12333.23),Thiruvananthapuram(C)__Thiruvananthapuram (375.19122173716374),Amboori__Thiruvananthapuram (93.13132812475142),Kuttichal__Thiruvananthapuram (47.05030541082366),Vellarada__Thiruvananthapuram (45.4982970904681),Neyyattinkara(M)__Thiruvananthapuram (42.76956123837898)
Kalliyoor__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram (37142.56),Thiruvananthapuram(C)__Thiruvananthapuram (2123.814954599189),Venganoor__Thiruvananthapuram (302.9857152105219),Pallichal__Thiruvananthapuram (288.67447391475184),Neyyattinkara(M)__Thiruvananthapuram (113.42445330664974),Balaramapuram__Thiruvananthapuram (88.04061239846864)
Kallooppara__Pathanamthitta,Kallooppara__Pathanamthitta (15398.11),Thiruvalla(M)__Pathanamthitta (102.57237734972693),Mallappalli__Pathanamthitta (91.63789468676474),Kaviyoor__Pathanamthitta (82.60168229071516),Puramattom__Pathanamthitta (77.08566281185485),Kunnamthanam__Pathanamthitta (71.4120726291178)
Kalloorkkad__Ernakulam,Kalloorkkad__Ernakulam (12136.67),Thodupuzha(M)__Idukki (104.75025166937345),Manjallur__Ernakulam (88.04685670607556),Kumaramangalam__Idukki (74.32886907278952),Ayavana__Ernakulam (52.50778384049584),Kothamangalam(M)__Ernakulam (36.06733295102743)
Kalluvathukkal__Kollam,Kalluvathukkal__Kollam (47812.31),Kollam(C)__Kollam (608.045499097331),Thiruvananthapuram(C)__Thiruvananthapuram (345.98880920308903),Navayikkulam__Thiruvananthapuram (244.11291610241136),Chirakkara__Kollam (212.97794586557933),Chathanoor__Kollam (186.7322719032062)
Kalpakamcherri__Malappuram,Kalpakamcherri__Malappuram (5640.18),Kottakkal(M)__Malappuram (88.52492840642489),Kozhikkode(C)__Kozhikode (34.16050287072737),Valancherri(M)__Malappuram (27.6394533777844),Thanur(M)__Malappuram (24.642816736648715),Thirurangadi(M)__Malappuram (21.983631459901854)
Kalpatta(M)__Wayanad,Kalpatta(M)__Wayanad (28737.8),Kozhikkode(C)__Kozhikode (339.6525237883754),Muttil__Wayanad (88.67927895648396),Sulthan Bathery(M)__Wayanad (73.47785970557469),Mananthavady(M)__Wayanad (69.76229314154652),Puthuppadi__Kozhikode (64.9409149511677)
Kalyasseri__Kannur,Kalyasseri__Kannur (28321.02),Pappinisseri__Kannur (557.0381292423887),Kannur(C)__Kannur (458.8595428502627),Anthoor(M)__Kannur (298.53027525161036),Azheeikkode__Kannur (183.89598556818862),Kannapuram__Kannur (152.23443653915504)
Kamakshi__Idukki,Kamakshi__Idukki (17983.420000000002),Erattayar__Idukki (478.56181123337757),Nedumkandam__Idukki (86.35041335290201),Kanchiyar__Idukki (68.98025517419589),Vathikudi__Idukki (59.10280401840609),Mariyapuram__Idukki (43.918985040129996)
Kanakari__Kottayam,Kanakari__Kottayam (20697.04),Ettumanoor(M)__Kottayam (344.48117948743555),Athirampuzha__Kottayam (155.08719587496498),Kottayam(M)__Kottayam (114.01762762020155),Manjoor__Kottayam (82.2783073502173),Kuravilangad__Kottayam (56.58462036322428)
Kanchiyar__Idukki,Kanchiyar__Idukki (20486.83),Upputhara__Idukki (94.74903182010733),Kamakshi__Idukki (89.08977891139001),Ayyappankovil__Idukki (86.99226794586946),Kattappana(M)__Idukki (71.8701391273278),Erattayar__Idukki (62.81401299311674)
Kandalloor__Alappuzha,Kandalloor__Alappuzha (19128.0),Kayamkulam(M)__Alappuzha (211.81378519847857),Arattupuzha__Alappuzha (81.51871711636838),Pathiyoor__Alappuzha (47.59644989998195),Muthukulam__Alappuzha (29.299879967407588),Devikulangara__Alappuzha (26.62372606022267)
Kandanasseri__Thrissur,Kandanasseri__Thrissur (23473.92),Thrissur(C)__Thrissur (129.7007351750866),Elavally__Thrissur (106.82110492523448),Choondal__Thrissur (79.4514462707767),Kaiparambu__Thrissur (25.47146622595142),Chowannoor__Thrissur (24.759366550499237)
Kangazha__Kottayam,Kangazha__Kottayam (18304.65),Nedumkunnam__Kottayam (138.47212153406028),Vazhoor__Kottayam (123.1023888263356),Vellavoor__Kottayam (87.54734469578864),Kottayam(M)__Kottayam (61.02119526116584),Chirakadav__Kottayam (59.29068701186468)
Kanichar__Kannur,Kanichar__Kannur (18552.0),Peravoor__Kannur (72.86207434304332),Kelakom__Kannur (52.10479908051079),Kannur(C)__Kannur (35.455484326466014),Kozhikkode(C)__Kozhikode (32.5338648029389),Aralam__Kannur (30.413951710257322)
Kaniyampatta__Wayanad,Kaniyampatta__Wayanad (7365.12),Kalpatta(M)__Wayanad (31.142213199178144),Kozhikkode(C)__Kozhikode (26.341306673922162),Mananthavady(M)__Wayanad (16.78315126427433),Sulthan Bathery(M)__Wayanad (13.743367017944738),Panamaram__Wayanad (13.134081737166438)
Kanjangad(M)__Kasaragod,Kanjangad(M)__Kasaragod (70408.32),Nileswaram(M)__Kasaragod (757.8967951888017),Ajanur__Kasaragod (309.08390087858214),Madikai__Kasaragod (221.73250144776858),Cheruvathur__Kasaragod (106.29079733487637),Payyannur(M)__Kannur (87.68551913486887)
Kanjikkuzhi__Alappuzha,Kanjikkuzhi__Alappuzha (28752.96),Mararikulam North__Alappuzha (152.76347158021892),Alappuzha(M)__Alappuzha (99.40730033301905),Cherthala (M)__Alappuzha (97.73878329030163),Muhamma__Alappuzha (92.5821879022128),Mannancherry__Alappuzha (66.1257228554165)
Kanjiramkulam__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram (18068.16),Thiruvananthapuram(C)__Thiruvananthapuram (155.48480052500807),Karumkulam__Thiruvananthapuram (111.27525433946857),Kottukal__Thiruvananthapuram (91.94389414374076),Neyyattinkara(M)__Thiruvananthapuram (58.25437738635457),Thirupuram__Thiruvananthapuram (55.17845899226146)
Kanjirapally__Kottayam,Kanjirapally__Kottayam (39181.87),Chirakadav__Kottayam (551.3756900397148),Parathodu__Kottayam (425.1518767461585),Mundakkayam__Kottayam (114.46428400924171),Kottayam(M)__Kottayam (75.8484618798444),Vazhoor__Kottayam (74.66310376629433)
Kanjirappuzha__Palakkad,Kanjirappuzha__Palakkad (31679.04),Mannarkkad(M)__Palakkad (102.91116846184859),Thachampara__Palakkad (101.70768691173149),Thenkara__Palakkad (69.90088080837806),Karakurissi__Palakkad (50.344372326996165),Agali__Palakkad (47.0760647120335)
Kanjoor__Ernakulam,Kanjoor__Ernakulam (21639.36),Sreemoolanagaram__Ernakulam (76.62167930400379),Okkal__Ernakulam (74.5020417023485),Vazhakkulam__Ernakulam (57.87613402281801),Kalady__Ernakulam (55.95057578346392),Perumbavoor(M)__Ernakulam (50.352695597653124)
Kankole Alapadamba__Kannur,Kankole Alapadamba__Kannur (14947.2),Payyannur(M)__Kannur (120.81025887638268),Karivalloor-Peralam__Kannur (52.76048939165315),Kannur(C)__Kannur (25.694187410734298),Pilicode__Kasaragod (24.084680582504816),Peringom-Vayakkara__Kannur (22.333616696147995)
Kannadi__Palakkad,Kannadi__Palakkad (21867.3),Palakkad(M)__Palakkad (996.276088148798),Pirayiri__Palakkad (88.84939413557049),Kodumbu__Palakkad (61.98757922456416),Thenkurissi__Palakkad (57.29222703552316),Kuzhalmannam__Palakkad (49.21581471196002)
Kannamangalam__Malappuram,Kannamangalam__Malappuram (6546.54),Kondotty(M)__Malappuram (125.19446746374447),Kozhikkode(C)__Kozhikode (73.61576474586205),Malappuram(M)__Malappuram (41.86027894563079),Thirurangadi(M)__Malappuram (41.664269077638764),Parappanangadi(M)__Malappuram (24.46424719532982)
Kannambra__Palakkad,Kannambra__Palakkad (24080.64),Vadakkancherri__Palakkad (142.82628791659434),Thrissur(C)__Thrissur (82.66468424130646),Puthukkode__Palakkad (70.29526048895306),Pazhayannoor__Thrissur (35.16841569644929),Kavassery__Palakkad (26.21750858787861)
Kannapuram__Kannur,Kannapuram__Kannur (16797.69),Kannur(C)__Kannur (209.2635471671626),Kalyasseri__Kannur (190.87814110131472),Mattool__Kannur (148.6350490211809),Anthoor(M)__Kannur (127.64747162851766),Thaliparambu(M)__Kannur (113.68380527132983)
Kannur(C)__Kannur,Kannur(C)__Kannur (223186.56),Chirakkal__Kannur (822.421326109684),Chembilod__Kannur (625.6339177312504),Munderi__Kannur (513.7810335798063),Thalasseri(M)__Kannur (401.054964685667),Narath__Kannur (349.684523368279)
Kanthalloor__Idukki,Kanthalloor__Idukki (9976.33),Marayoor__Idukki (73.9050460124887),Devikulam__Idukki (30.70167236318599),Munnar__Idukki (29.239463636250747),Vattavada__Idukki (25.51135670729565),Thiruvananthapuram(C)__Thiruvananthapuram (24.155474674491675)
Kappur__Palakkad,Kappur__Palakkad (28516.670000000002),Pattithara__Palakkad (260.8887001563062),Ponnani(M)__Malappuram (177.71484173775113),Chalissery__Palakkad (170.63653412881925),Thrissur(C)__Thrissur (126.54049128057021),Anakkara__Palakkad (120.06039068966689)
Karaduka__Kasaragod,Karaduka__Kasaragod (19302.01),Kumbadaje__Kasaragod (148.21426170077706),Muliyar__Kasaragod (136.65407099844145),Chengala__Kasaragod (133.60034433102925),Beloor__Kasaragod (114.31104405255223),Delampadi__Kasaragod (109.17879730112702)
Karakulam__Thiruvananthapuram,Karakulam__Thiruvananthapuram (50320.32),Thiruvananthapuram(C)__Thiruvananthapuram (1588.839868762774),Nedumangad(M)__Thiruvananthapuram (134.00504328324635),Aruvikkara__Thiruvananthapuram (35.59045805726397),Vembayam__Thiruvananthapuram (31.002133054303407),Anad__Thiruvananthapuram (14.977152392923573)
Karakurissi__Palakkad,Karakurissi__Palakkad (26879.04),Mannarkkad(M)__Palakkad (152.28524403193967),Karimpuzha__Palakkad (58.81240166926221),Kadampazhippuram__Palakkad (45.44590945368922),Kumaramputhoor__Palakkad (37.26060233372306),Kanjirappuzha__Palakkad (36.83482496898348)
Karalam__Thrissur,Karalam__Thrissur (20462.4),Iringalakkuda(M)__Thrissur (227.04432678774313),Thrissur(C)__Thrissur (93.69239755726211),Kattoor__Thrissur (59.50788259810973),Edathiruthy__Thrissur (24.936768178422437),Cherppu__Thrissur (24.047874634859422)
Karassery__Kozhikode,Karassery__Kozhikode (28697.760000000002),Kozhikkode(C)__Kozhikode (461.8372281404689),Mukkam(M)__Kozhikode (417.1097535537641),Kodiyathur__Kozhikode (357.73890586630176),Koduvalli(M)__Kozhikode (94.17368629354128),Chathamangalam__Kozhikode (87.56892845436968)
Karavaloor__Kollam,Karavaloor__Kollam (22989.12),Punaloor(M)__Kollam (258.72441613242535),Anchal__Kollam (86.28828974869583),Thiruvananthapuram(C)__Thiruvananthapuram (47.12687190767848),Kollam(C)__Kollam (40.5040508346103),Vilakudi__Kollam (39.459085435070975)
Karavaram__Thiruvananthapuram,Karavaram__Thiruvananthapuram (27900.6),Thiruvananthapuram(C)__Thiruvananthapuram (342.49397984520056),Attingal(M)__Thiruvananthapuram (324.92660409413736),Nagaroor__Thiruvananthapuram (311.44294343498063),Kollam(C)__Kollam (126.54148751929229),Navayikkulam__Thiruvananthapuram (110.0189801797036)
Kareepra__Kollam,Kareepra__Kollam (27091.61),Kollam(C)__Kollam (483.34739764916486),Nedumpana__Kollam (224.46674073902227),Elampalloor__Kollam (145.00758200290227),Ezhukone__Kollam (126.60940128920213),Veliyam__Kollam (120.18700920087535)
Karimannur__Idukki,Karimannur__Idukki (18888.0),Vannappuram__Idukki (66.93984650879074),Thodupuzha(M)__Idukki (49.410288893569714),Kodikulam__Idukki (28.92062549362257),Udumpannoor__Idukki (20.80964606806066),Idukki- Kanjikkuzhi__Idukki (16.646743169219516)
Karimba__Palakkad,Karimba__Palakkad (25006.8),Palakkad(M)__Palakkad (169.18107064939394),Thachampara__Palakkad (151.90657885142588),Puthupariyaram__Palakkad (128.72850029824764),Mundoor__Palakkad (106.0816929930364),Kongadu__Palakkad (80.48171804712331)
Karimpuzha__Palakkad,Karimpuzha__Palakkad (30832.32),Sreekrishnapuram__Palakkad (111.05038207491063),Mannarkkad(M)__Palakkad (99.16261201458919),Karakurissi__Palakkad (53.9839832508391),Kumaramputhoor__Palakkad (47.87658063476407),Kadampazhippuram__Palakkad (46.21584581188631)
Karinkunnam__Idukki,Karinkunnam__Idukki (11333.14),Thodupuzha(M)__Idukki (215.94163206272017),Ramapuram__Kottayam (38.694707360966476),Muttom__Idukki (32.969425401150495),Purappuzha__Idukki (32.952290432383556),Kadanad__Kottayam (29.113564407286795)
Karivalloor-Peralam__Kannur,Karivalloor-Peralam__Kannur (20260.8),Payyannur(M)__Kannur (147.508819729159),Pilicode__Kasaragod (136.63980658900434),Thrikkarippur__Kasaragod (53.106782340435004),Kankole Alapadamba__Kannur (42.99302057989618),Nileswaram(M)__Kasaragod (41.27655926942523)
Karode__Thiruvananthapuram,Karode__Thiruvananthapuram (30806.4),Kulathoor__Thiruvananthapuram (247.28090490180244),Thiruvananthapuram(C)__Thiruvananthapuram (232.13087468356744),Parassala__Thiruvananthapuram (142.85090410629263),Chenkal__Thiruvananthapuram (124.05390623205109),Neyyattinkara(M)__Thiruvananthapuram (89.43374949529263)
Karoor__Kottayam,Karoor__Kottayam (20698.86),Ramapuram__Kottayam (106.47543890333733),Mutholi__Kottayam (73.69039116024645),Ettumanoor(M)__Kottayam (65.36868191083722),Kottayam(M)__Kottayam (61.4915415219124),Marangattupilly__Kottayam (58.13783658187334)
Karthikapalli__Alappuzha,Karthikapalli__Alappuzha (17249.96),Kumarapuram__Alappuzha (183.62541447708043),Chingoli__Alappuzha (165.96203287265644),Thrikkunnapuzha__Alappuzha (129.6269521307137),Harippad(M)__Alappuzha (114.70504435625611),Kayamkulam(M)__Alappuzha (63.79574215742986)
Karukachal__Kottayam,Karukachal__Kottayam (21504.21),Madapally__Kottayam (190.02777095018573),Nedumkunnam__Kottayam (131.0174374089787),Kottayam(M)__Kottayam (115.22531207951687),Vakathanam__Kottayam (96.54655604619326),Changanassery(M)__Kottayam (67.19388651349885)
Karukutty__Ernakulam,Karukutty__Ernakulam (26993.28),Mookkannoor__Ernakulam (121.34602668581005),Koratty__Thrissur (108.86484483026092),Angamali(M)__Ernakulam (63.017049169416254),Chalakkudi(M)__Thrissur (42.61474114653931),Meloor__Thrissur (39.56608596815095)
Karulayi__Malappuram,Karulayi__Malappuram (4773.12),Kozhikkode(C)__Kozhikode (16.77299286096236),Nilambur(M)__Malappuram (8.679306947750383),Manjeri(M)__Malappuram (5.41905062438375),Amarambalam__Malappuram (5.387321611383875),Thrissur(C)__Thrissur (4.8705948275487785)
Karumaloor__Ernakulam,Karumaloor__Ernakulam (32830.98),Alangad__Ernakulam (374.85121414483297),Kunnukara__Ernakulam (327.9776349505547),Kadungalloor__Ernakulam (147.60876928533338),Kottuvally__Ernakulam (128.84014579054082),Eloor(M)__Ernakulam (128.56536926206508)
Karumkulam__Thiruvananthapuram,Karumkulam__Thiruvananthapuram (27158.4),Thiruvananthapuram(C)__Thiruvananthapuram (253.8045666137028),Kanjiramkulam__Thiruvananthapuram (147.39514153197146),Poovar__Thiruvananthapuram (133.9546937477122),Neyyattinkara(M)__Thiruvananthapuram (73.26242587432927),Kulathoor__Thiruvananthapuram (62.87703231430659)
Karunagappally(M)__Kollam,Karunagappally(M)__Kollam (47619.84),Kollam(C)__Kollam (250.78770931138368),Panmana__Kollam (228.43751391060755),Kulasekharapuram__Kollam (212.66900761285925),Thodiyoor__Kollam (152.65852637157985),Mynagappally__Kollam (64.92598625229579)
Karunapuram__Idukki,Karunapuram__Idukki (24239.670000000002),Pampadumpara__Idukki (307.6209706720066),Nedumkandam__Idukki (178.0837849428387),Vandanmedu__Idukki (172.91265090497595),Thiruvananthapuram(C)__Thiruvananthapuram (63.109981144141415),Chakkupallam__Idukki (48.66374798305942)
Karuvarakundu__Malappuram,Karuvarakundu__Malappuram (7432.88),Alanalloor__Palakkad (48.822401533565106),Kozhikkode(C)__Kozhikode (41.29768775591616),Kottoppadam__Palakkad (30.1605267463186),Manjeri(M)__Malappuram (26.705541686424958),Thrissur(C)__Thrissur (17.77899675720636)
Karuvatta__Alappuzha,Karuvatta__Alappuzha (19302.01),Purakkad__Alappuzha (118.28342964645817),Cheruthana__Alappuzha (115.22339085777384),Kumarapuram__Alappuzha (114.33575567772947),Thrikkunnapuzha__Alappuzha (109.2364442195244),Harippad(M)__Alappuzha (85.60632282451873)
Kasaragod(M)__Kasaragod,Kasaragod(M)__Kasaragod (52005.12),Chemmanad__Kasaragod (479.4702926525932),Madhur__Kasaragod (347.9639035940132),Mogral-Puthur__Kasaragod (188.21885638745115),Chengala__Kasaragod (173.0427982103483),Uduma__Kasaragod (132.4151844150214)
Kathiroor__Kannur,Kathiroor__Kannur (28289.17),Thalasseri(M)__Kannur (837.373364190307),Eranjoli__Kannur (241.74056676477136),Kannur(C)__Kannur (172.55958577321854),Pinarayi__Kannur (129.81798044926057),Panoor(M)__Kannur (125.65814592962354)
Kattakada__Thiruvananthapuram,Kattakada__Thiruvananthapuram (38830.08),Thiruvananthapuram(C)__Thiruvananthapuram (578.1833567681389),Poovachal__Thiruvananthapuram (164.54226681201064),Maranalloor__Thiruvananthapuram (141.3690957566623),Neyyattinkara(M)__Thiruvananthapuram (86.82387455965217),Malayinkeezhu__Thiruvananthapuram (63.65456471483466)
Kattakambal__Thrissur,Kattakambal__Thrissur (23571.73),Thrissur(C)__Thrissur (158.8812784857184),Porkkulam__Thrissur (156.74730784301832),Kadavalloor__Thrissur (144.87050577334503),Vadakkekkadu__Thrissur (124.89796531037258),Ponnani(M)__Malappuram (104.30922706037364)
Kattappana(M)__Idukki,Kattappana(M)__Idukki (5035.2),Vandanmedu__Idukki (16.482219336724686),Kanchiyar__Idukki (15.403898429210207),Pampadumpara__Idukki (10.973870289912192),Erattayar__Idukki (8.890327732534745),Nedumkandam__Idukki (8.755624418048917)
Kattipara__Kozhikode,Kattipara__Kozhikode (21797.76),Kozhikkode(C)__Kozhikode (145.18376267674103),Puthuppadi__Kozhikode (70.46306098256777),Unnikkulam__Kozhikode (56.04451996483781),Thamarassery__Kozhikode (51.008780226379635),Koduvalli(M)__Kozhikode (37.35352027526341)
Kattoor__Thrissur,Kattoor__Thrissur (16395.47),Thrissur(C)__Thrissur (183.14809292551533),Edathiruthy__Thrissur (178.73058176621137),Iringalakkuda(M)__Thrissur (158.46939842615467),Karalam__Thrissur (147.9098256192124),Valappad__Thrissur (62.02023274942999)
Kavalam__Alappuzha,Kavalam__Alappuzha (13449.6),Kottayam(M)__Kottayam (71.34117773031356),Alappuzha(M)__Alappuzha (65.32284194280534),Pulinkunnu__Alappuzha (24.408761386933897),Changanassery(M)__Kottayam (17.242204372374733),Thiruvarppu__Kottayam (15.043285609988155)
Kavalangad__Ernakulam,Kavalangad__Ernakulam (28537.92),Paingottoor__Ernakulam (69.7063484439393),Kothamangalam(M)__Ernakulam (64.12358720421),Pallarimangalam__Ernakulam (38.895689437605135),Vannappuram__Idukki (36.10965694716601),Thodupuzha(M)__Idukki (33.941937937974664)
Kavanoor__Malappuram,Kavanoor__Malappuram (6968.64),Kozhikkode(C)__Kozhikode (39.81690044651205),Manjeri(M)__Malappuram (35.06647265269444),Kondotty(M)__Malappuram (17.394929188242774),Malappuram(M)__Malappuram (13.157090822844532),Pulpatta__Malappuram (8.522325454122187)
Kavassery__Palakkad,Kavassery__Palakkad (26392.73),Tharur__Palakkad (297.67595187950377),Alathur__Palakkad (163.03504807423678),Vadakkancherri__Palakkad (129.0385524682088),Thrissur(C)__Thrissur (125.57779711091565),Puthukkode__Palakkad (88.63337059152659)
Kavilumpara__Kozhikode,Kavilumpara__Kozhikode (21914.88),Kozhikkode(C)__Kozhikode (72.88243403791326),Maruthonkara__Kozhikode (50.82498177021524),Kayakkodi__Kozhikode (34.37029811232382),Narippatta__Kozhikode (26.413283017083426),Changaroth__Kozhikode (26.053921019587197)
Kaviyoor__Pathanamthitta,Kaviyoor__Pathanamthitta (16177.92),Thiruvalla(M)__Pathanamthitta (126.43490380499976),Kunnamthanam__Pathanamthitta (31.838187418391087),Kallooppara__Pathanamthitta (31.512658944802087),Eraviperoor__Pathanamthitta (29.432106124251565),Changanassery(M)__Kottayam (25.038697952485244)
Kayakkodi__Kozhikode,Kayakkodi__Kozhikode (23594.88),Narippatta__Kozhikode (69.45647917849077),Kunnummal__Kozhikode (58.422616821446795),Kutyadi__Kozhikode (57.244981173190915),Kozhikkode(C)__Kozhikode (52.18844726789717),Nadapuram__Kozhikode (31.557144399399654)
Kayamkulam(M)__Alappuzha,Kayamkulam(M)__Alappuzha (62456.94),Pathiyoor__Alappuzha (480.5404572575706),Krishnapuram__Alappuzha (461.2051243388114),Devikulangara__Alappuzha (329.30140035068945),Kandalloor__Alappuzha (273.4511080032763),Bharanikavu__Alappuzha (266.5549532377742)
Kayanna__Kozhikode,Kayanna__Kozhikode (13204.8),Kozhikkode(C)__Kozhikode (68.4737096654397),Kottur__Kozhikode (66.27107943062153),Panangad__Kozhikode (23.356465972724802),Koyilandi(M)__Kozhikode (21.80671161220459),Nochad__Kozhikode (19.87381921624935)
Kayyur-Chimeni__Kasaragod,Kayyur-Chimeni__Kasaragod (21380.45),Nileswaram(M)__Kasaragod (200.3585053052572),Kanjangad(M)__Kasaragod (167.3099182035119),Payyannur(M)__Kannur (150.96519005207657),Pilicode__Kasaragod (122.56815842722253),Kinanur-Karindalam__Kasaragod (107.38692469991888)
Keerampara__Ernakulam,Keerampara__Ernakulam (12024.0),Kothamangalam(M)__Ernakulam (57.01606605135048),Kavalangad__Ernakulam (21.481193718724292),Pindimana__Ernakulam (19.65678749494555),Nellikuzhy__Ernakulam (13.011558778595335),Pallarimangalam__Ernakulam (11.73516282445019)
Keezhalloor__Kannur,Keezhalloor__Kannur (18879.77),Kannur(C)__Kannur (309.88135042376945),Koodali__Kannur (164.722760129085),Anjarakandi__Kannur (87.03277086193089),Vengad__Kannur (81.72796659402967),Mangattidam__Kannur (66.24708189418668)
Keezhariyur__Kozhikode,Keezhariyur__Kozhikode (14511.36),Koyilandi(M)__Kozhikode (192.5324135794532),Kozhikkode(C)__Kozhikode (48.678358921523305),Moodadi__Kozhikode (32.18086096458905),Meppayur__Kozhikode (30.534540843432417),Arikkulam__Kozhikode (24.64043462191587)
Keezhattur__Malappuram,Keezhattur__Malappuram (6471.92),Manjeri(M)__Malappuram (63.49344406601837),Perinthalmanna(M)__Malappuram (58.45316516780112),Kozhikkode(C)__Kozhikode (34.898708778868524),Malappuram(M)__Malappuram (23.76204160877264),Alanalloor__Palakkad (15.598028459147136)
Keezhmadu__Ernakulam,Keezhmadu__Ernakulam (35104.32),Aluva(M)__Ernakulam (124.83440639866035),Edathala__Ernakulam (116.10380721973242),Sreemoolanagaram__Ernakulam (91.43461703040315),Vazhakkulam__Ernakulam (86.06661049561271),Choornikkara__Ernakulam (60.15403153322784)
Keezhuparambu__Malappuram,Keezhuparambu__Malappuram (4095.0),Kodiyathur__Kozhikode (69.02155181043914),Kozhikkode(C)__Kozhikode (66.69836890275177),Mukkam(M)__Kozhikode (16.93426350611596),Karassery__Kozhikode (16.181729350818443),Kondotty(M)__Malappuram (13.764433233626258)
Kelakom__Kannur,Kelakom__Kannur (19622.4),Kanichar__Kannur (64.25593862306297),Aralam__Kannur (56.699171956982575),Kottiyoor__Kannur (41.07028688439906),Kozhikkode(C)__Kozhikode (39.842863681838686),Kannur(C)__Kannur (36.045123361583656)
Keralassery__Palakkad,Keralassery__Palakkad (14421.12),Kongadu__Palakkad (64.84040882529965),Mannoor__Palakkad (36.232879127353634),Mankara__Palakkad (31.000443946866284),Kadampazhippuram__Palakkad (28.615131541198803),Palakkad(M)__Palakkad (24.74050758759357)
Kidangoor__Kottayam,Kidangoor__Kottayam (19347.51),Ettumanoor(M)__Kottayam (271.81375741855845),Kottayam(M)__Kottayam (99.11686021643916),Ayarkunnam__Kottayam (96.82564564224434),Kadaplamattam__Kottayam (67.36135034023188),Mutholi__Kottayam (58.295744573690286)
Kilimanoor__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram (18668.65),Thiruvananthapuram(C)__Thiruvananthapuram (221.2189501318797),Pazhayakunnummel__Thiruvananthapuram (133.61860450295725),Nagaroor__Thiruvananthapuram (117.27887067835111),Kollam(C)__Kollam (94.63387688538288),Madavoor__Thiruvananthapuram (78.9723267454591)
Kinanur-Karindalam__Kasaragod,Kinanur-Karindalam__Kasaragod (25102.35),Kanjangad(M)__Kasaragod (216.98162796781023),Kodom-Belur__Kasaragod (158.43497149972865),Nileswaram(M)__Kasaragod (152.37298077858605),West Eleri__Kasaragod (135.22141550204583),Kayyur-Chimeni__Kasaragod (133.56916344301243)
Kizhakkambalam__Ernakulam,Kizhakkambalam__Ernakulam (30360.33),Kunnathunad__Ernakulam (316.6137930221647),Edathala__Ernakulam (200.5871006492141),Vengola__Ernakulam (172.26422503467163),Thrikkakkara(M)__Ernakulam (168.54832156685887),Vazhakkulam__Ernakulam (143.31317894255884)
Kizhakkanchery__Palakkad,Kizhakkanchery__Palakkad (37244.48),Vandazhi__Palakkad (353.1382751604829),Thrissur(C)__Thrissur (298.2693291791653),Vadakkancherri__Palakkad (125.2964835983054),Ayiloor__Palakkad (122.96951953908349),Varantharappilli__Thrissur (86.5673137867002)
Kizhakkoth__Kozhikode,Kizhakkoth__Kozhikode (28447.510000000002),Koduvalli(M)__Kozhikode (744.8249628203322),Kozhikkode(C)__Kozhikode (536.7340352168536),Narikkuni__Kozhikode (172.48936876801397),Unnikkulam__Kozhikode (120.01840813693566),Thamarassery__Kozhikode (89.05383631083681)
Kizhuvilam__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram (29939.91),Attingal(M)__Thiruvananthapuram (525.0411325355908),Thiruvananthapuram(C)__Thiruvananthapuram (506.52848096659073),Chirayinkeezhu__Thiruvananthapuram (271.3890380950653),Azhoor__Thiruvananthapuram (217.71908326782804),Kadakkavoor__Thiruvananthapuram (148.2140743758141)
Kochi(C)__Ernakulam,Kochi(C)__Ernakulam (57836.16),Thrippunithura(M)__Ernakulam (372.5005820122743),Marad(M)__Ernakulam (308.39294136205297),Thrikkakkara(M)__Ernakulam (273.01477182940147),Elankunnapuzha__Ernakulam (86.33167463343321),Mulavukadu__Ernakulam (75.1488867522244)
Kodakara__Thrissur,Kodakara__Thrissur (31006.08),Chalakkudi(M)__Thrissur (186.17056094481532),Thrissur(C)__Thrissur (126.03613497041934),Aloor__Thrissur (88.48420527518861),Iringalakkuda(M)__Thrissur (61.038567540520525),Puthukkad__Thrissur (47.922555630296394)
Kodamthuruthu__Alappuzha,Kodamthuruthu__Alappuzha (24369.6),Kuthiyathodu__Alappuzha (187.62608090078567),Ezhupunna__Alappuzha (91.6525629866747),Thuravoor__Alappuzha (65.23052053397954),Panavally__Alappuzha (40.17951430056232),Aroor__Alappuzha (31.873971759374385)
Kodancheri__Kozhikode,Kodancheri__Kozhikode (33459.84),Kozhikkode(C)__Kozhikode (209.63136981629933),Puthuppadi__Kozhikode (108.55505954295892),Thiruvambadi__Kozhikode (108.4448543154151),Mukkam(M)__Kozhikode (49.099297349489014),Koduvalli(M)__Kozhikode (48.18129332665065)
Kodassery__Thrissur,Kodassery__Thrissur (31120.18),Pariyaram__Thrissur (364.0658529867179),Chalakkudi(M)__Thrissur (230.54299777534453),Thrissur(C)__Thrissur (216.00308844237875),Meloor__Thrissur (126.72507220766124),Mattathoor__Thrissur (76.61788157151496)
