,iName,jName,Tij
0,Ajanur__Kasaragod,Ajanur__Kasaragod,44237.7
1,Ajanur__Kasaragod,Badiyaduka__Kasaragod,7.563193941582036
2,Ajanur__Kasaragod,Balal__Kasaragod,4.616149139839455
3,Ajanur__Kasaragod,Bedadka__Kasaragod,32.55726264386481
4,Ajanur__Kasaragod,Beloor__Kasaragod,1.8617541820063221
5,Ajanur__Kasaragod,Chemmanad__Kasaragod,53.86845385399166
6,Ajanur__Kasaragod,Chengala__Kasaragod,23.535402496594823
7,Ajanur__Kasaragod,Cheruvathur__Kasaragod,22.969085716189383
8,Ajanur__Kasaragod,Delampadi__Kasaragod,4.261497440448114
9,Ajanur__Kasaragod,East Eleri__Kasaragod,3.804363629775399
10,Ajanur__Kasaragod,Enmakaje__Kasaragod,3.9074151153795227
11,Ajanur__Kasaragod,Kallar__Kasaragod,6.855483487623377
12,Ajanur__Kasaragod,Kanjangad(M)__Kasaragod,1080.4941093855143
13,Ajanur__Kasaragod,Karaduka__Kasaragod,5.550983400490162
14,Ajanur__Kasaragod,Kasaragod(M)__Kasaragod,60.882038784587444
15,Ajanur__Kasaragod,Kayyur-Chimeni__Kasaragod,10.836368162824687
16,Ajanur__Kasaragod,Kinanur-Karindalam__Kasaragod,19.15779235515832
17,Ajanur__Kasaragod,Kodom-Belur__Kasaragod,67.59842953127229
18,Ajanur__Kasaragod,Kumbadaje__Kasaragod,3.6293667176769473
19,Ajanur__Kasaragod,Kumbala__Kasaragod,7.796172169714532
20,Ajanur__Kasaragod,Kuttikol__Kasaragod,7.225340042741291
21,Ajanur__Kasaragod,Madhur__Kasaragod,12.94930395811503
22,Ajanur__Kasaragod,Madikai__Kasaragod,68.17349045798865
23,Ajanur__Kasaragod,Mangalpady__Kasaragod,6.662865340575175
24,Ajanur__Kasaragod,Manjeswaram__Kasaragod,4.918842265616197
25,Ajanur__Kasaragod,Meencha__Kasaragod,2.8922155771753966
26,Ajanur__Kasaragod,Mogral-Puthur__Kasaragod,6.823904107041815
27,Ajanur__Kasaragod,Muliyar__Kasaragod,19.09452891086007
28,Ajanur__Kasaragod,Nileswaram(M)__Kasaragod,120.46704416089206
29,Ajanur__Kasaragod,Padanna__Kasaragod,7.437954293202354
30,Ajanur__Kasaragod,Paivalike__Kasaragod,4.432513828577164
31,Ajanur__Kasaragod,Pallikkara__Kasaragod,1086.6756412179782
32,Ajanur__Kasaragod,Pananthadi__Kasaragod,3.6224773175618505
33,Ajanur__Kasaragod,Pilicode__Kasaragod,9.369695248174484
34,Ajanur__Kasaragod,Pullur-Periya__Kasaragod,1849.093503394886
35,Ajanur__Kasaragod,Puthige__Kasaragod,3.8594706133859957
36,Ajanur__Kasaragod,Thrikkarippur__Kasaragod,7.987543919856467
37,Ajanur__Kasaragod,Uduma__Kasaragod,94.99274802203146
38,Ajanur__Kasaragod,Valiyaparampa__Kasaragod,3.231557085414995
39,Ajanur__Kasaragod,Vorkady__Kasaragod,2.9124485019268787
40,Ajanur__Kasaragod,West Eleri__Kasaragod,6.893922718819306
41,Badiyaduka__Kasaragod,Ajanur__Kasaragod,7.58879711975761
42,Badiyaduka__Kasaragod,Badiyaduka__Kasaragod,30786.3
43,Badiyaduka__Kasaragod,Balal__Kasaragod,1.9918731704045285
44,Badiyaduka__Kasaragod,Bedadka__Kasaragod,8.45391495914338
45,Badiyaduka__Kasaragod,Beloor__Kasaragod,4.4977300014165005
46,Badiyaduka__Kasaragod,Chemmanad__Kasaragod,27.468551111197506
47,Badiyaduka__Kasaragod,Chengala__Kasaragod,1051.1409140663202
48,Badiyaduka__Kasaragod,Cheruvathur__Kasaragod,1.795737302301372
49,Badiyaduka__Kasaragod,Delampadi__Kasaragod,5.241297017693187
50,Badiyaduka__Kasaragod,East Eleri__Kasaragod,1.5220161173305486
51,Badiyaduka__Kasaragod,Enmakaje__Kasaragod,94.79396596004601
