fromName,toName,value
Amboori__Thiruvananthapuram,Amboori__Thiruvananthapuram,0
Amboori__Thiruvananthapuram,Anad__Thiruvananthapuram,25049
Amboori__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,52074
Amboori__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,37746
Amboori__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,19952
Amboori__Thiruvananthapuram,Aryanad__Thiruvananthapuram,13762
Amboori__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,7079
Amboori__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,18943
Amboori__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,45899
Amboori__Thiruvananthapuram,Azhoor__Thiruvananthapuram,43925
Amboori__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,17917
Amboori__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,55819
Amboori__Thiruvananthapuram,Chenkal__Thiruvananthapuram,17854
Amboori__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,53476
Amboori__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,47505
Amboori__Thiruvananthapuram,Edava__Thiruvananthapuram,61506
Amboori__Thiruvananthapuram,Elakamon__Thiruvananthapuram,59595
Amboori__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,48813
Amboori__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,39757
Amboori__Thiruvananthapuram,Kallara__Thiruvananthapuram,35559
Amboori__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,4418
Amboori__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,22381
Amboori__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,22504
Amboori__Thiruvananthapuram,Karakulam__Thiruvananthapuram,25279
Amboori__Thiruvananthapuram,Karavaram__Thiruvananthapuram,48249
Amboori__Thiruvananthapuram,Karode__Thiruvananthapuram,21168
Amboori__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,24137
Amboori__Thiruvananthapuram,Kattakada__Thiruvananthapuram,10928
Amboori__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,48052
Amboori__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,45337
Amboori__Thiruvananthapuram,Kollayil__Thiruvananthapuram,13863
Amboori__Thiruvananthapuram,Kottukal__Thiruvananthapuram,22423
Amboori__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,22461
Amboori__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,10156
Amboori__Thiruvananthapuram,Madavoor__Thiruvananthapuram,52602
Amboori__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,16380
Amboori__Thiruvananthapuram,Manampoor__Thiruvananthapuram,50431
Amboori__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,40582
Amboori__Thiruvananthapuram,Manikkal__Thiruvananthapuram,34085
Amboori__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,13281
Amboori__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,41429
Amboori__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,46846
Amboori__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,27914
Amboori__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,53768
Amboori__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,23728
Amboori__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,37434
Amboori__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,15125
Amboori__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,5008
Amboori__Thiruvananthapuram,Ottoor__Thiruvananthapuram,52173
Amboori__Thiruvananthapuram,Pallichal__Thiruvananthapuram,18815
Amboori__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,56210
Amboori__Thiruvananthapuram,Panavoor__Thiruvananthapuram,28189
Amboori__Thiruvananthapuram,Pangod__Thiruvananthapuram,35391
Amboori__Thiruvananthapuram,Parassala__Thiruvananthapuram,17011
Amboori__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,45034
Amboori__Thiruvananthapuram,Peringammala__Thiruvananthapuram,30847
Amboori__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,11409
Amboori__Thiruvananthapuram,Poovachal__Thiruvananthapuram,10833
Amboori__Thiruvananthapuram,Poovar__Thiruvananthapuram,22679
Amboori__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,36595
Amboori__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,41919
Amboori__Thiruvananthapuram,Pullampara__Thiruvananthapuram,32781
Amboori__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,20369
Amboori__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,27127
Amboori__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,20737
Amboori__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,17909
Amboori__Thiruvananthapuram,Vakkam__Thiruvananthapuram,51187
Amboori__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,38518
Amboori__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,57864
Amboori__Thiruvananthapuram,Vellanad__Thiruvananthapuram,16501
Amboori__Thiruvananthapuram,Vellarada__Thiruvananthapuram,6038
Amboori__Thiruvananthapuram,Vembayam__Thiruvananthapuram,30194
Amboori__Thiruvananthapuram,Venganoor__Thiruvananthapuram,23036
Amboori__Thiruvananthapuram,Vettoor__Thiruvananthapuram,54922
Amboori__Thiruvananthapuram,Vilappil__Thiruvananthapuram,17064
Amboori__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,19018
Amboori__Thiruvananthapuram,Vithura__Thiruvananthapuram,19149
Anad__Thiruvananthapuram,Amboori__Thiruvananthapuram,25049
Anad__Thiruvananthapuram,Anad__Thiruvananthapuram,0
Anad__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,28368
Anad__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,16410
Anad__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,8075
Anad__Thiruvananthapuram,Aryanad__Thiruvananthapuram,12160
Anad__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,24091
Anad__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,28335
Anad__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,21438
Anad__Thiruvananthapuram,Azhoor__Thiruvananthapuram,21202
Anad__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,24633
Anad__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,30993
Anad__Thiruvananthapuram,Chenkal__Thiruvananthapuram,32482
Anad__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,29027
Anad__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,24336
Anad__Thiruvananthapuram,Edava__Thiruvananthapuram,36876
Anad__Thiruvananthapuram,Elakamon__Thiruvananthapuram,34704
Anad__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,24728
Anad__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,19448
Anad__Thiruvananthapuram,Kallara__Thiruvananthapuram,11387
Anad__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,25239
Anad__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,22719
Anad__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,31514
Anad__Thiruvananthapuram,Karakulam__Thiruvananthapuram,8131
Anad__Thiruvananthapuram,Karavaram__Thiruvananthapuram,23293
Anad__Thiruvananthapuram,Karode__Thiruvananthapuram,36818
Anad__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,33927
Anad__Thiruvananthapuram,Kattakada__Thiruvananthapuram,18348
Anad__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,23162
Anad__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,21644
Anad__Thiruvananthapuram,Kollayil__Thiruvananthapuram,30428
Anad__Thiruvananthapuram,Kottukal__Thiruvananthapuram,29128
Anad__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,36020
Anad__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,29624
Anad__Thiruvananthapuram,Madavoor__Thiruvananthapuram,27726
Anad__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,18100
Anad__Thiruvananthapuram,Manampoor__Thiruvananthapuram,25870
Anad__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,17679
Anad__Thiruvananthapuram,Manikkal__Thiruvananthapuram,9813
Anad__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,20597
