name,S,E,I,R
Cherthala South__Alappuzha,40102,0,0,0
Cherukavu__Malappuram,7478,0,0,0
Cherukol__Pathanamthitta,12169,0,0,0
Cherukunnu__Kannur,16111,0,0,0
Cherunniyoor__Thiruvananthapuram,18114,0,0,0
Cherupuzha__Kannur,30733,0,0,0
Cheruthana__Alappuzha,12854,0,0,0
Cheruthazham__Kannur,29348,0,0,0
Cheruvannur__Kozhikode,23388,0,0,0
Cheruvathur__Kasaragod,27435,0,0,0
Chettikulangara__Alappuzha,37495,0,0,0
Chingoli__Alappuzha,14981,0,0,0
Chinnakkanal__Idukki,11553,0,0,0
Chirakadav__Kottayam,36164,0,0,0
Chirakkal__Kannur,45601,0,0,0
Chirakkara__Kollam,22669,0,0,0
Chirayinkeezhu__Thiruvananthapuram,29907,0,0,0
Chithara__Kollam,45383,0,0,0
Chittar__Pathanamthitta,16525,0,0,0
Chittariparambu__Kannur,23878,0,0,0
Chittattukara__Ernakulam,31303,0,0,0
Chittoor-Thathamangalam(M)__Palakkad,32298,0,0,0
Chokkadu__Malappuram,6340,0,0,0
Chokli__Kannur,28415,0,0,0
Choondal__Thrissur,32436,0,0,0
Choornikkara__Ernakulam,32746,0,0,0
Chottanikara__Ernakulam,22656,0,0,0
Chowannoor__Thrissur,16690,0,0,0
Chunakkara__Alappuzha,22730,0,0,0
Chungathara__Malappuram,8054,0,0,0
Clappana__Kollam,22250,0,0,0
Delampadi__Kasaragod,22773,0,0,0
Desamangalam__Thrissur,21883,0,0,0
Devikulam__Idukki,23709,0,0,0
Devikulangara__Alappuzha,20390,0,0,0
Dharmadom__Kannur,30804,0,0,0
East Eleri__Kasaragod,25075,0,0,0
East Kallada__Kollam,22046,0,0,0
Edacheri__Kozhikode,26819,0,0,0
Edakkara__Malappuram,6198,0,0,0
Edakkattuvayal__Ernakulam,18158,0,0,0
Edamalakkudi__Idukki,2236,0,0,0
Edamulakkal__Kollam,39244,0,0,0
Edappal__Malappuram,6684,0,0,0
Edappatta__Malappuram,4532,0,0,0
Edarikkod__Malappuram,5223,0,0,0
Edathala__Ernakulam,44204,0,0,0
Edathiruthy__Thrissur,29325,0,0,0
Edathwa__Alappuzha,19094,0,0,0
Edava__Thiruvananthapuram,25994,0,0,0
Edavaka__Wayanad,7539,0,0,0
Edavanna__Malappuram,9048,0,0,0
Edavavanakad__Ernakulam,21787,0,0,0
Edavetti__Idukki,14260,0,0,0
Edavilangadu__Thrissur,20363,0,0,0
Edayoor__Malappuram,6811,0,0,0
Elakamon__Thiruvananthapuram,25307,0,0,0
Elamadu__Kollam,27248,0,0,0
Elamkulam__Malappuram,5330,0,0,0
Elampalloor__Kollam,38536,0,0,0
Elanji__Ernakulam,16495,0,0,0
Elankunnapuzha__Ernakulam,50714,0,0,0
Elanthoor__Pathanamthitta,15344,0,0,0
Elappara__Idukki,23666,0,0,0
Elappulli__Palakkad,39032,0,0,0
Elavally__Thrissur,27209,0,0,0
Elavancheri__Palakkad,17940,0,0,0
Elikkulam__Kottayam,24499,0,0,0
Eloor(M)__Ernakulam,36722,0,0,0
Enadimangalam__Pathanamthitta,20453,0,0,0
Engandiyoor__Thrissur,23583,0,0,0
Enmakaje__Kasaragod,26824,0,0,0
Eramala__Kozhikode,34658,0,0,0
Eramam-Kuttoor__Kannur,27830,0,0,0
Eranjoli__Kannur,25818,0,0,0
Erathu__Pathanamthitta,24880,0,0,0
Erattayar__Idukki,19097,0,0,0
Erattupetta(M)__Kottayam,29705,0,0,0
Eraviperoor__Pathanamthitta,25172,0,0,0
Erimayur__Palakkad,30645,0,0,0
Eriyad__Thrissur,46213,0,0,0
Eroor__Kollam,33929,0,0,0
Erumapetty__Thrissur,29834,0,0,0
Erumeli__Kottayam,43273,0,0,0
Eruthempathi__Palakkad,18158,0,0,0
Eruvessi__Kannur,19216,0,0,0
Ettumanoor(M)__Kottayam,45837,0,0,0
Ezhamkulam__Pathanamthitta,32642,0,0,0
Ezhikkara__Ernakulam,18019,0,0,0
Ezhome__Kannur,19261,0,0,0
Ezhukone__Kollam,24251,0,0,0
Ezhumattoor__Pathanamthitta,18799,0,0,0
Ezhupunna__Alappuzha,21506,0,0,0
Feroke(M)__Kozhikode,54074,0,0,0
Guruvayur(M)__Thrissur,70012,0,0,0
Harippad(M)__Alappuzha,15691,0,0,0
Idukki- Kanjikkuzhi__Idukki,26809,0,0,0
Irikkur__Kannur,13820,0,0,0
Irimbiliyam__Malappuram,5904,0,0,0
Iringalakkuda(M)__Thrissur,62532,0,0,0
Iritty(M)__Kannur,40369,0,0,0
Ittiva__Kollam,36172,0,0,0
Kadakkal__Kollam,30719,0,0,0
Kadakkarapalli__Alappuzha,17496,0,0,0
Kadakkavoor__Thiruvananthapuram,23155,0,0,0
Kadalundi__Kozhikode,42516,0,0,0
Kadamakkudy__Ernakulam,16295,0,0,0
Kadamboor__Kannur,18979,0,0,0
Kadampanadu__Pathanamthitta,26909,0,0,0
Kadampazhippuram__Palakkad,31506,0,0,0
Kadanad__Kottayam,18734,0,0,0
Kadangode__Thrissur,32574,0,0,0
Kadannapalli-Panapuzha__Kannur,21785,0,0,0
Kadaplamattam__Kottayam,13046,0,0,0
Kadappuram__Thrissur,25305,0,0,0
Kadapra__Pathanamthitta,20827,0,0,0
Kadavalloor__Thrissur,36464,0,0,0
Kadinamkulam__Thiruvananthapuram,46476,0,0,0
Kadukutty__Thrissur,25128,0,0,0
Kadungalloor__Ernakulam,41827,0,0,0
Kaduthuruthy__Kottayam,31844,0,0,0
Kainakari__Alappuzha,19094,0,0,0
Kaipamangalam__Thrissur,35626,0,0,0
Kaiparambu__Thrissur,31299,0,0,0
Kakkodi__Kozhikode,42866,0,0,0
Kakkur__Kozhikode,22788,0,0,0
Kalady__Ernakulam,28279,0,0,0
Kalady__Malappuram,5320,0,0,0
Kalamasseri(M)__Ernakulam,71038,0,0,0
Kalanjoor__Pathanamthitta,32047,0,0,0
Kalikavu__Malappuram,7042,0,0,0
Kallar__Kasaragod,19414,0,0,0
Kallara (Vaikom)__Kottayam,13562,0,0,0
Kallara__Thiruvananthapuram,25844,0,0,0
Kallikkad__Thiruvananthapuram,13553,0,0,0
Kalliyoor__Thiruvananthapuram,40816,0,0,0
Kallooppara__Pathanamthitta,16921,0,0,0
Kalloorkkad__Ernakulam,13337,0,0,0
Kalluvathukkal__Kollam,52541,0,0,0
Kalpakamcherri__Malappuram,6198,0,0,0
Kalpatta(M)__Wayanad,31580,0,0,0
Kalyasseri__Kannur,31122,0,0,0
Kamakshi__Idukki,19762,0,0,0
Kanakari__Kottayam,22744,0,0,0
Kanchiyar__Idukki,22513,0,0,0
Kandalloor__Alappuzha,19925,0,0,0
Kandanasseri__Thrissur,24452,0,0,0
Kangazha__Kottayam,20115,0,0,0
Kanichar__Kannur,19325,0,0,0
Kaniyampatta__Wayanad,7672,0,0,0
Kanjangad(M)__Kasaragod,73342,0,0,0
Kanjikkuzhi__Alappuzha,29951,0,0,0
Kanjiramkulam__Thiruvananthapuram,18821,0,0,0
Kanjirapally__Kottayam,43057,0,0,0
Kanjirappuzha__Palakkad,32999,0,0,0
Kanjoor__Ernakulam,22541,0,0,0
Kankole Alapadamba__Kannur,15570,0,0,0
Kannadi__Palakkad,24030,0,0,0
Kannamangalam__Malappuram,7194,0,0,0
Kannambra__Palakkad,25084,0,0,0
Kannapuram__Kannur,18459,0,0,0
Kannur(C)__Kannur,232486,0,0,0
Kanthalloor__Idukki,10963,0,0,0
Kappur__Palakkad,31337,0,0,0
Karaduka__Kasaragod,21211,0,0,0
Karakulam__Thiruvananthapuram,52417,0,0,0
Karakurissi__Palakkad,27999,0,0,0
Karalam__Thrissur,21315,0,0,0
Karassery__Kozhikode,31536,0,0,0
Karavaloor__Kollam,23947,0,0,0
Karavaram__Thiruvananthapuram,30660,0,0,0
Kareepra__Kollam,29771,0,0,0
Karimannur__Idukki,19675,0,0,0
Karimba__Palakkad,27480,0,0,0
Karimpuzha__Palakkad,32117,0,0,0
Karinkunnam__Idukki,12454,0,0,0
Karivalloor-Peralam__Kannur,21105,0,0,0
Karode__Thiruvananthapuram,32090,0,0,0
Karoor__Kottayam,22746,0,0,0
Karthikapalli__Alappuzha,18956,0,0,0
Karukachal__Kottayam,23631,0,0,0
Karukutty__Ernakulam,28118,0,0,0
Karulayi__Malappuram,4972,0,0,0
Karumaloor__Ernakulam,36078,0,0,0
