name,area
Karumkulam__Thiruvananthapuram,4713572.447
Kanjiramkulam__Thiruvananthapuram,9359872.301
Athiyannoor__Thiruvananthapuram,12201140.28
Venganoor__Thiruvananthapuram,14763862.75
Madavoor__Thiruvananthapuram,18349515.99
Karavaram__Thiruvananthapuram,22296511.67
Nagaroor__Thiruvananthapuram,23480549.85
Navayikkulam__Thiruvananthapuram,28742548.39
Pulimathu__Thiruvananthapuram,26752950.83
Kilimanoor__Thiruvananthapuram,19363658.27
Pallikkal__Thiruvananthapuram,16565427.89
Pazhayakunnummel__Thiruvananthapuram,24800819.65
Kattakada__Thiruvananthapuram,22603269.71
Poovachal__Thiruvananthapuram,30396753.42
Aryanad__Thiruvananthapuram,39246581.36
Vellanad__Thiruvananthapuram,23344699.25
Uzhamalakkal__Thiruvananthapuram,18536291.91
Tholikkodu__Thiruvananthapuram,25030753.4
Balaramapuram__Thiruvananthapuram,10619099.41
Pallichal__Thiruvananthapuram,18597254.92
Malayinkeezhu__Thiruvananthapuram,16040213.67
Maranalloor__Thiruvananthapuram,25100519.61
Kalliyoor__Thiruvananthapuram,17224088.68
Vilappil__Thiruvananthapuram,20983442.01
Vilavoorkal__Thiruvananthapuram,10439808.01
Karode__Thiruvananthapuram,14067665.71
Parassala__Thiruvananthapuram,20194372.75
Poovar__Thiruvananthapuram,9387955.178
Chenkal__Thiruvananthapuram,19773457.01
Thirupuram__Thiruvananthapuram,6569213.567
Kulathoor__Thiruvananthapuram,13213235.96
Kollayil__Thiruvananthapuram,13445856.7
Kunnathukal__Thiruvananthapuram,25133413.29
Perumkadavila__Thiruvananthapuram,18051450.13
Aryancodu__Thiruvananthapuram,21641547.25
Ottasekharamangalam__Thiruvananthapuram,17687661.83
Kallikkad__Thiruvananthapuram,82290628.37
Chirayinkeezhu__Thiruvananthapuram,11507799.52
Anchuthengu__Thiruvananthapuram,4131620.329
Vakkam__Thiruvananthapuram,5024063.196
Mudakkal__Thiruvananthapuram,25780162.33
Manampoor__Thiruvananthapuram,14862164.22
Vettoor__Thiruvananthapuram,6929396.265
Varkala(M)__Thiruvananthapuram,15589879.77
Cherunniyoor__Thiruvananthapuram,9956552.53
Ottoor__Thiruvananthapuram,9532578.488
Edava__Thiruvananthapuram,9354853.961
Chemmaruthi__Thiruvananthapuram,17488563.6
Elakamon__Thiruvananthapuram,17374814.02
Aruvikkara__Thiruvananthapuram,21263205.99
Anad__Thiruvananthapuram,23870759.46
Panavoor__Thiruvananthapuram,21942856.72
Vembayam__Thiruvananthapuram,30770514.67
Nedumangad(M)__Thiruvananthapuram,32415198.94
Peringammala__Thiruvananthapuram,228888722.4
Nanniyodu__Thiruvananthapuram,38720196.2
Manikkal__Thiruvananthapuram,33316768.11
Nellanadu__Thiruvananthapuram,18446806.86
Pangod__Thiruvananthapuram,37050410.79
Kallara__Thiruvananthapuram,26143440.48
Kadinamkulam__Thiruvananthapuram,19911493.88
Pothencodu__Thiruvananthapuram,19414386.28
Mangalapuram__Thiruvananthapuram,22643707.02
Kottukal__Thiruvananthapuram,14818128.03
Vellarada__Thiruvananthapuram,34522511.23
Kadakkavoor__Thiruvananthapuram,10814644.8
Kizhuvilam__Thiruvananthapuram,13965821.19
Karakulam__Thiruvananthapuram,24268226.63
Pullampara__Thiruvananthapuram,27659754.06
Vamanpuram__Thiruvananthapuram,21568327.09
Azhoor__Thiruvananthapuram,12820945.61
Neyyattinkara(M)__Thiruvananthapuram,28695204.85
Vithura__Thiruvananthapuram,123657186.5
Attingal(M)__Thiruvananthapuram,17647829.15
Andoorkonam__Thiruvananthapuram,14115811.94
Thiruvananthapuram(C)__Thiruvananthapuram,213182504.5
Amboori__Thiruvananthapuram,29207705.04
Kummil__Kollam,18223322.68
Poothakulam__Kollam,16429159.18
Nilamel__Kollam,14103520.33
Paravoor(M)__Kollam,19883922.18
Chirakkara__Kollam,13151949.94
Chithara__Kollam,58191092.64
Kadakkal__Kollam,31048767.88
Kalluvathukkal__Kollam,36994203.12
Mayyanad__Kollam,18850279.18
Chathanoor__Kollam,16378896.48
Chadayamangalam__Kollam,28455540.63
Adichanalloor__Kollam,24267597.88
Velinalloor__Kollam,25213161.44
Ittiva__Kollam,42125521.26
Pooyappalli__Kollam,22137690.23
Thrikkovilvattom__Kollam,18358434.98
Alayamon__Kollam,59661085
Kollam(C)__Kollam,71848255.92
Elamadu__Kollam,30303818.7
Kottankara__Kollam,13662636.08
Nedumpana__Kollam,24902398.5
Elampalloor__Kollam,11614322.24
Neendakara__Kollam,5836130.936
Kareepra__Kollam,23141583.11
Veliyam__Kollam,30006655.05
Anchal__Kollam,24718049.61
Thrikkaruva__Kollam,17566268.78
Ummannoor__Kollam,34585013.29
Edamulakkal__Kollam,39380969.68
Perinadu__Kollam,15435394.52
Panayam__Kollam,10304400.35
Thekkumbhagam__Kollam,14283915.15
Kulathupuzha__Kollam,405877178.9
Eroor__Kollam,43632944.04
Chavara__Kollam,13242936.12
Kundara__Kollam,11655027.07
Perayam__Kollam,15894892.51
Ezhukone__Kollam,16069191.98
Muntrothuruthu__Kollam,13287318.91
Karavaloor__Kollam,24087924.51
Vettikkavala__Kollam,35814956.67
Kottarakkara(M)__Kollam,17650551.55
Melila__Kollam,18518907.34
East Kallada__Kollam,13350396.68
Thevalakkara__Kollam,17160244.26
West Kallada__Kollam,14045612.57
Neduvathoor__Kollam,23654969.03
Panmana__Kollam,17907645.71
Pavithreswaram__Kollam,25401965.21
Mynagappally__Kollam,20085140.69
Mylam__Kollam,25410811.06
Sasthamkotta__Kollam,23514861.41
Karunagappally(M)__Kollam,17855140.57
